player,avg,ngames,teamgames,team,Name,PA,AVG,eAVG,HR,eHR,R,eR,RBI,eRBI,SB,eSB,Rank,Unnamed: 13,PA_forecast,PAdiff
Kyle Schwarber,2.0,7,14,PHI,Kyle Schwarber ,644,0.232,0.037,38,15,98,25,94,24,4,6,31,,724.0,80.0
Willy Adames,2.0,8,14,SF,Willy Adames ,643,0.238,0.035,28,13,82,22,94,24,11,8,15,,724.0,81.0
Juan Soto,2.0,6,15,NYM,Juan Soto ,665,0.275,0.04,35,15,105,26,98,25,8,7,8,,724.0,59.0
Bryan Reynolds,2.0,8,15,PIT,Bryan Reynolds ,636,0.269,0.036,22,12,75,21,80,22,9,7,30,,724.0,88.0
Mike Trout,2.0,6,16,LAA,Mike Trout ,485,0.246,0.037,30,12,68,18,59,16,11,7,56,,724.0,239.0
Bobby Witt Jr.,2.0,8,16,KC,Bobby Witt Jr. ,660,0.298,0.044,25,13,94,25,89,24,28,16,6,,724.0,64.0
Carlos Correa,2.0,6,14,MIN,Carlos Correa ,538,0.278,0.039,19,10,71,19,70,19,1,6,101,,724.0,186.0
Corey Seager,2.0,8,16,TEX,Corey Seager ,543,0.283,0.04,29,12,75,20,80,20,2,5,57,,724.0,181.0
Adley Rutschman,2.0,7,13,BAL,Adley Rutschman ,601,0.256,0.036,16,9,65,19,64,19,2,6,118,,724.0,123.0
Luis Robert Jr.,2.0,7,14,CWS,Luis Robert Jr. ,589,0.251,0.035,23,11,75,21,65,19,24,12,29,,724.0,135.0
Travis d'Arnaud,2.0,6,16,LAA,Travis d'Arnaud ,252,0.238,0.034,10,5,29,8,34,9,0,2,256,,724.0,472.0
Kyle Tucker,2.12,8,16,CHC,Kyle Tucker ,637,0.279,0.039,36,15,96,24,100,25,20,11,3,,722.0,85.0
Brent Rooker,2.12,8,15,ATH,Brent Rooker ,608,0.268,0.04,29,13,67,20,81,22,7,6,45,,722.0,114.0
Brandon Lowe,2.14,7,15,TB,Brandon Lowe ,495,0.239,0.035,23,10,65,18,69,18,5,5,69,,721.0,226.0
Mike Tauchman,2.14,7,14,CWS,Mike Tauchman ,391,0.247,0.037,7,5,48,13,33,11,5,4,196,,721.0,330.0
Josh Lowe,2.14,7,15,TB,Josh Lowe ,519,0.255,0.035,13,8,56,17,52,16,26,11,99,,721.0,202.0
Ryan McMahon,2.25,8,15,COL,Ryan McMahon ,620,0.24,0.034,20,11,70,20,67,20,4,6,68,,720.0,100.0
Isaac Paredes,2.29,7,14,HOU,Isaac Paredes ,585,0.235,0.037,23,11,62,19,75,20,1,5,107,,719.0,134.0
Austin Riley,2.38,8,14,ATL,Austin Riley ,643,0.266,0.036,28,13,89,23,83,23,2,6,47,,717.0,74.0
Lars Nootbaar,2.43,7,15,STL,Lars Nootbaar ,505,0.244,0.035,15,8,60,17,54,16,8,6,111,,716.0,211.0
Francisco Alvarez,2.5,8,15,NYM,Francisco Alvarez ,460,0.229,0.038,15,8,43,14,52,15,1,4,177,,715.0,255.0
Jackson Chourio,2.5,8,15,MIL,Jackson Chourio ,639,0.277,0.051,12,8,44,16,44,16,11,8,155,,715.0,76.0
Jackson Holliday,2.5,6,13,BAL,Jackson Holliday ,460,0.197,0.043,5,5,29,11,25,10,3,4,276,,715.0,255.0
Riley Greene,2.5,6,14,DET,Riley Greene ,610,0.269,0.037,17,10,73,21,62,19,6,6,75,,715.0,105.0
Bryce Harper,2.5,6,14,PHI,Bryce Harper ,632,0.284,0.04,27,13,90,23,85,23,10,8,12,,715.0,83.0
Jake McCarthy,2.5,8,16,AZ,Jake McCarthy ,511,0.27,0.036,7,6,61,17,44,15,28,12,135,,715.0,204.0
Gleyber Torres,2.5,6,14,DET,Gleyber Torres ,626,0.262,0.035,18,10,78,22,65,20,8,7,54,,715.0,89.0
Jesus Sanchez,2.57,7,14,MIA,Jesus Sanchez ,519,0.246,0.034,18,9,56,17,62,18,8,6,89,,714.0,195.0
Jack Suwinski,2.57,7,15,PIT,Jack Suwinski ,105,0.196,0.033,3,1,10,3,10,3,2,1,351,,714.0,609.0
Tyler Freeman,2.57,7,14,CLE,Tyler Freeman ,112,0.221,0.036,1,1,10,3,8,3,2,1,371,,714.0,602.0
Jose Ramirez,2.67,6,14,CLE,Jose Ramirez ,652,0.279,0.039,30,14,97,25,100,25,28,15,2,,712.0,60.0
Freddie Freeman,2.67,6,17,LAD,Freddie Freeman ,643,0.298,0.044,23,12,95,24,87,23,12,8,10,,712.0,69.0
Alek Thomas,2.71,7,16,AZ,Alek Thomas ,275,0.216,0.033,7,4,31,9,34,9,6,4,232,,711.0,436.0
Max Schuemann,2.71,7,15,ATH,Max Schuemann ,145,0.217,0.046,1,1,8,3,5,2,1,1,387,,711.0,566.0
Randy Arozarena,2.75,8,17,SEA,Randy Arozarena ,613,0.239,0.035,18,10,77,21,66,20,18,10,48,,710.0,97.0
Jackson Merrill,2.75,8,15,SD,Jackson Merrill ,625,0.291,0.052,12,8,41,16,47,17,8,7,156,,710.0,85.0
Jung Hoo Lee,2.75,8,14,SF,Jung Hoo Lee ,571,0.255,0.047,3,5,26,12,15,9,3,5,288,,710.0,139.0
Andrew Vaughn,2.83,6,14,CWS,Andrew Vaughn ,595,0.252,0.034,18,10,59,18,71,20,1,5,106,,709.0,114.0
Carlos Santana,2.83,6,14,CLE,Carlos Santana ,550,0.231,0.034,20,10,61,18,68,19,3,5,94,,709.0,159.0
Brice Turang,2.86,7,15,MIL,Brice Turang ,577,0.242,0.035,6,6,53,17,40,15,33,13,163,,709.0,132.0
Paul Goldschmidt,2.86,7,14,NYY,Paul Goldschmidt ,613,0.262,0.036,22,11,75,21,72,21,9,7,38,,709.0,96.0
Ezequiel Tovar,2.89,9,15,COL,Ezequiel Tovar ,649,0.261,0.038,16,10,61,20,60,19,6,6,93,,708.0,59.0
Seiya Suzuki,2.89,9,16,CHC,Seiya Suzuki ,561,0.277,0.038,17,9,66,19,63,18,10,7,66,,708.0,147.0
Derek Hill,3.0,6,14,MIA,Derek Hill ,286,0.246,0.045,5,4,18,7,21,7,4,3,289,,706.0,420.0
Cody Bellinger,3.0,7,14,NYY,Cody Bellinger ,564,0.265,0.036,21,10,78,21,81,21,12,8,34,,706.0,142.0
Vinnie Pasquantino,3.0,8,16,KC,Vinnie Pasquantino ,597,0.261,0.037,19,10,60,18,76,21,2,6,104,,706.0,109.0
Brendan Donovan,3.0,6,15,STL,Brendan Donovan ,578,0.279,0.039,11,8,62,19,54,17,6,5,115,,706.0,128.0
Oneil Cruz,3.0,7,15,PIT,Oneil Cruz ,607,0.258,0.044,14,9,47,17,51,17,12,8,129,,706.0,99.0
Michael Busch,3.0,8,16,CHC,Michael Busch ,558,0.251,0.05,9,7,36,14,32,13,1,5,243,,706.0,148.0
Willson Contreras,3.0,6,15,STL,Willson Contreras ,551,0.257,0.037,22,11,70,19,63,18,6,5,67,,706.0,155.0
Connor Norby,3.0,7,14,MIA,Connor Norby ,559,0.236,0.049,13,8,43,15,31,13,4,5,197,,706.0,147.0
Eloy Jimenez,3.0,8,15,TB,Eloy Jimenez ,237,0.253,0.034,6,3,21,7,24,7,1,2,295,,706.0,469.0
William Contreras,3.0,7,15,MIL,William Contreras ,618,0.276,0.038,21,11,86,23,80,22,7,6,36,,706.0,88.0
Pete Alonso,3.0,7,15,NYM,Pete Alonso ,637,0.238,0.036,35,15,85,23,95,24,4,6,35,,706.0,69.0
Cal Raleigh,3.0,7,17,SEA,Cal Raleigh ,571,0.218,0.034,28,12,66,19,80,21,3,5,70,,706.0,135.0
Anthony Santander,3.0,6,15,TOR,Anthony Santander ,631,0.242,0.035,33,14,81,22,92,24,3,6,43,,706.0,75.0
Teoscar Hernandez,3.0,8,17,LAD,Teoscar Hernandez ,622,0.27,0.036,28,13,78,22,92,23,9,7,17,,706.0,84.0
Elly De La Cruz,3.0,7,14,CIN,Elly De La Cruz ,650,0.249,0.038,16,10,77,22,53,18,45,17,63,,706.0,56.0
Byron Buxton,3.0,6,14,MIN,Byron Buxton ,463,0.253,0.036,23,10,70,18,62,17,9,6,65,,706.0,243.0
Kyle Stowers,3.0,7,14,MIA,Kyle Stowers ,441,0.212,0.043,3,4,17,8,25,10,0,4,343,,706.0,265.0
Michael Massey,3.12,8,16,KC,Michael Massey ,459,0.248,0.035,13,8,45,14,50,15,3,4,160,,704.0,245.0
Nathaniel Lowe,3.12,8,14,WSH,Nathaniel Lowe ,600,0.267,0.036,17,10,70,20,70,20,3,6,85,,704.0,104.0
Dylan Moore,3.12,8,17,SEA,Dylan Moore ,399,0.206,0.033,11,6,47,13,40,12,21,16,157,,704.0,305.0
Lourdes Gurriel Jr.,3.17,6,16,AZ,Lourdes Gurriel Jr. ,552,0.271,0.037,17,9,64,18,72,19,5,5,71,,703.0,151.0
Junior Caminero,3.17,6,15,TB,Junior Caminero ,586,0.25,0.048,9,7,26,12,30,13,3,5,237,,703.0,117.0
Nick Castellanos,3.29,7,14,PHI,Nick Castellanos ,617,0.265,0.035,22,11,74,21,84,22,7,6,37,,701.0,84.0
Santiago Espinal,3.29,7,14,CIN,Santiago Espinal ,190,0.256,0.033,3,2,19,6,20,6,3,2,325,,701.0,511.0
Jonah Bride,3.29,7,14,MIA,Jonah Bride ,418,0.233,0.035,8,6,40,12,39,12,1,4,222,,701.0,283.0
Colton Cowser,3.29,7,13,BAL,Colton Cowser ,544,0.242,0.049,11,8,36,14,34,13,4,5,202,,701.0,157.0
Andrew McCutchen,3.33,6,15,PIT,Andrew McCutchen ,449,0.233,0.034,15,8,54,15,45,14,5,4,150,,700.0,251.0
Edmundo Sosa,3.33,6,14,PHI,Edmundo Sosa ,167,0.255,0.034,4,2,21,5,17,5,3,2,326,,700.0,533.0
Justin Turner,3.33,6,16,CHC,Justin Turner ,358,0.269,0.036,10,6,44,12,45,12,2,4,192,,700.0,342.0
Jesse Winker,3.38,8,15,NYM,Jesse Winker ,407,0.237,0.034,9,6,45,13,45,13,5,4,176,,699.0,292.0
Josh Naylor,3.38,8,16,AZ,Josh Naylor ,596,0.263,0.036,25,12,71,20,98,24,7,6,33,,699.0,103.0
Jeff McNeil,3.38,8,15,NYM,Jeff McNeil ,495,0.259,0.034,10,7,58,16,46,15,5,5,148,,699.0,204.0
Yainer Diaz,3.38,8,14,HOU,Yainer Diaz ,545,0.287,0.041,16,9,52,16,61,18,1,5,143,,699.0,154.0
Matt Olson,3.38,8,14,ATL,Matt Olson ,657,0.256,0.037,35,15,89,24,104,26,2,6,44,,699.0,42.0
Alec Burleson,3.43,7,15,STL,Alec Burleson ,486,0.257,0.038,11,7,42,14,46,15,4,4,169,,698.0,212.0
J.P. Crawford,3.43,7,17,SEA,J.P. Crawford ,565,0.231,0.033,11,8,69,19,48,16,5,5,130,,698.0,133.0
Joc Pederson,3.43,7,16,TEX,Joc Pederson ,427,0.256,0.037,20,9,58,15,59,15,4,4,121,,698.0,271.0
Tyler Soderstrom,3.43,7,15,ATH,Tyler Soderstrom ,506,0.206,0.036,13,8,32,12,38,14,0,5,226,,698.0,192.0
Tim Anderson,3.44,9,16,LAA,Tim Anderson ,120,0.24,0.03,0,1,11,3,6,2,2,1,372,,698.0,578.0
Daniel Schneemann,3.5,6,14,CLE,Daniel Schneemann ,166,0.216,0.045,1,1,6,3,7,3,1,1,390,,697.0,531.0
Alec Bohm,3.5,6,14,PHI,Alec Bohm ,601,0.274,0.038,16,9,67,20,87,22,5,6,64,,697.0,96.0
Tommy Edman,3.56,9,17,LAD,Tommy Edman ,542,0.246,0.034,17,9,71,19,60,18,23,11,61,,696.0,154.0
Christopher Morel,3.57,7,15,TB,Christopher Morel ,517,0.215,0.034,19,10,53,16,56,17,6,5,113,,696.0,179.0
Jonathan Aranda,3.57,7,15,TB,Jonathan Aranda ,367,0.238,0.038,9,5,41,12,32,10,0,3,244,,696.0,329.0
Gavin Lux,3.62,8,14,CIN,Gavin Lux ,428,0.258,0.04,5,4,37,12,30,11,3,4,245,,695.0,267.0
Ozzie Albies,3.67,6,14,ATL,Ozzie Albies ,618,0.261,0.035,20,11,79,22,84,22,10,8,27,,694.0,76.0
Josh Jung,3.67,9,16,TEX,Josh Jung ,522,0.257,0.036,19,10,55,17,55,16,7,6,97,,694.0,172.0
Ryan O'Hearn,3.67,6,13,BAL,Ryan O'Hearn ,401,0.262,0.035,12,6,47,13,51,14,3,4,165,,694.0,293.0
Shea Langeliers,3.71,7,15,ATH,Shea Langeliers ,494,0.221,0.035,22,10,50,15,65,18,3,4,125,,693.0,199.0
Evan Carter,3.71,7,16,TEX,Evan Carter ,462,0.191,0.044,7,5,31,12,22,10,2,4,270,,693.0,231.0
Willi Castro,3.71,7,14,MIN,Willi Castro ,556,0.248,0.033,11,8,75,20,50,16,21,10,91,,693.0,137.0
Trevor Story,3.71,7,14,BOS,Trevor Story ,520,0.235,0.032,11,7,46,15,51,16,23,16,128,,693.0,173.0
Kyle Manzardo,3.78,9,14,CLE,Kyle Manzardo ,449,0.233,0.046,6,5,16,8,20,9,0,4,334,,692.0,243.0
Michael Conforto,3.78,9,17,LAD,Michael Conforto ,457,0.239,0.037,15,8,47,14,51,15,1,4,172,,692.0,235.0
Joey Bart,3.83,6,15,PIT,Joey Bart ,358,0.251,0.045,9,5,29,10,32,10,0,3,267,,691.0,333.0
Miguel Vargas,3.83,6,14,CWS,Miguel Vargas ,438,0.171,0.033,8,6,35,12,29,11,3,4,238,,691.0,253.0
Mark Vientos,3.86,7,15,NYM,Mark Vientos ,609,0.239,0.039,24,12,53,18,63,19,1,6,126,,691.0,82.0
Ryan Jeffers,3.86,7,14,MIN,Ryan Jeffers ,397,0.237,0.035,16,8,48,13,51,14,2,3,159,,691.0,294.0
Salvador Perez,3.86,7,16,KC,Salvador Perez ,573,0.262,0.035,23,11,56,18,85,22,1,5,96,,691.0,118.0
Matt Chapman,3.86,7,14,SF,Matt Chapman ,625,0.24,0.035,23,12,83,22,70,20,8,7,40,,691.0,66.0
Harrison Bader,3.86,7,14,MIN,Harrison Bader ,312,0.242,0.033,7,4,39,11,35,10,13,6,186,,691.0,379.0
Maikel Garcia,3.86,7,16,KC,Maikel Garcia ,559,0.249,0.035,5,5,57,17,41,15,23,11,167,,691.0,132.0
Jorge Soler,3.88,8,16,LAA,Jorge Soler ,544,0.237,0.035,23,11,72,19,63,18,1,5,103,,690.0,146.0
Nolan Arenado,4.0,8,15,STL,Nolan Arenado ,612,0.268,0.036,21,11,70,20,82,22,3,6,60,,688.0,76.0
Trevor Larnach,4.0,6,14,MIN,Trevor Larnach ,464,0.242,0.035,16,8,62,16,64,17,3,4,123,,688.0,224.0
Josh Smith,4.0,9,16,TEX,Josh Smith ,363,0.229,0.034,7,5,38,11,29,10,4,4,218,,688.0,325.0
Mitch Haniger,4.0,7,17,SEA,Mitch Haniger ,360,0.219,0.032,11,6,40,12,42,12,1,3,217,,688.0,328.0
Xander Bogaerts,4.0,7,15,SD,Xander Bogaerts ,602,0.277,0.038,14,9,72,20,59,18,14,9,59,,688.0,86.0
Kris Bryant,4.0,6,15,COL,Kris Bryant ,420,0.236,0.033,9,6,39,12,39,12,1,4,216,,688.0,268.0
Marcell Ozuna,4.0,8,14,ATL,Marcell Ozuna ,629,0.274,0.037,33,14,83,22,92,24,2,7,39,,688.0,59.0
Mickey Moniak,4.0,7,16,LAA,Mickey Moniak ,321,0.234,0.034,10,5,33,10,35,10,4,3,208,,688.0,367.0
Richie Palacios,4.0,9,15,TB,Richie Palacios ,325,0.233,0.035,8,5,34,10,29,9,10,6,205,,688.0,363.0
Lane Thomas,4.0,6,14,CLE,Lane Thomas ,568,0.249,0.034,18,10,74,20,66,19,24,11,50,,688.0,120.0
Colt Keith,4.11,9,14,DET,Colt Keith ,522,0.258,0.047,6,5,25,11,29,12,3,5,264,,686.0,164.0
Eugenio Suarez,4.11,9,16,AZ,Eugenio Suarez ,588,0.238,0.035,25,12,72,20,85,22,2,5,72,,686.0,98.0
Miguel Andujar,4.12,8,15,ATH,Miguel Andujar ,306,0.271,0.039,3,3,21,8,20,7,2,3,319,,686.0,380.0
Anthony Volpe,4.14,7,14,NYY,Anthony Volpe ,628,0.236,0.036,11,8,59,19,47,17,17,10,119,,685.0,57.0
Kerry Carpenter,4.14,7,14,DET,Kerry Carpenter ,475,0.272,0.038,23,10,56,16,69,18,2,4,108,,685.0,210.0
Andres Gimenez,4.14,7,15,TOR,Andres Gimenez ,583,0.257,0.033,11,8,66,19,58,18,26,12,82,,685.0,102.0
George Springer,4.17,6,15,TOR,George Springer ,597,0.242,0.034,20,11,76,21,63,19,13,9,49,,685.0,88.0
Austin Hays,4.17,6,14,CIN,Austin Hays ,417,0.258,0.033,9,6,47,14,40,12,3,4,180,,685.0,268.0
Jon Singleton,4.17,6,14,HOU,Jon Singleton ,116,0.211,0.036,2,1,10,3,10,3,0,1,386,,685.0,569.0
Gavin Sheets,4.17,6,15,SD,Gavin Sheets ,136,0.227,0.032,3,2,10,3,14,4,0,1,360,,685.0,549.0
Thairo Estrada,4.22,9,15,COL,Thairo Estrada ,468,0.247,0.033,12,7,55,16,53,15,9,6,127,,684.0,216.0
MJ Melendez,4.22,9,16,KC,MJ Melendez ,472,0.213,0.033,14,8,44,14,43,14,3,4,173,,684.0,212.0
Michael Toglia,4.22,9,15,COL,Michael Toglia ,536,0.199,0.033,19,10,59,17,49,16,6,6,120,,684.0,148.0
Paul DeJong,4.25,8,14,WSH,Paul DeJong ,249,0.21,0.032,10,5,26,8,27,8,2,2,262,,684.0,435.0
Dane Myers,4.29,7,14,MIA,Dane Myers ,288,0.268,0.05,4,3,22,8,24,8,4,3,296,,683.0,395.0
Garrett Mitchell,4.29,7,15,MIL,Garrett Mitchell ,452,0.254,0.05,7,5,32,12,20,9,12,7,233,,683.0,231.0
Pavin Smith,4.29,7,16,AZ,Pavin Smith ,317,0.24,0.036,14,6,43,11,53,13,2,3,185,,683.0,366.0
Rhys Hoskins,4.33,6,15,MIL,Rhys Hoskins ,533,0.222,0.041,18,9,44,15,54,17,2,5,166,,682.0,149.0
Tyler Stephenson,4.33,6,14,CIN,Tyler Stephenson ,468,0.262,0.035,14,8,59,16,59,16,1,4,147,,682.0,214.0
Keibert Ruiz,4.33,6,14,WSH,Keibert Ruiz ,470,0.243,0.034,11,7,41,13,49,15,2,4,175,,682.0,212.0
Gio Urshela,4.33,6,15,ATH,Gio Urshela ,390,0.269,0.036,7,5,35,11,43,12,2,3,207,,682.0,292.0
Enrique Hernandez,4.38,8,17,LAD,Enrique Hernandez ,272,0.233,0.033,7,4,30,9,30,9,1,2,268,,681.0,409.0
Josh Rojas,4.43,7,14,CWS,Josh Rojas ,361,0.24,0.032,5,4,41,12,31,10,9,5,206,,680.0,319.0
Edouard Julien,4.43,7,14,MIN,Edouard Julien ,343,0.223,0.037,8,5,34,10,21,8,4,3,249,,680.0,337.0
Mitch Garver,4.5,6,17,SEA,Mitch Garver ,319,0.214,0.034,14,6,34,10,41,11,0,3,227,,679.0,360.0
Randal Grichuk,4.5,6,16,AZ,Randal Grichuk ,259,0.276,0.038,9,5,34,9,35,9,1,3,241,,679.0,420.0
Jerar Encarnacion,4.5,8,14,SF,Jerar Encarnacion ,223,0.249,0.048,4,3,12,5,16,6,0,2,349,,679.0,456.0
Adolis Garcia,4.57,7,16,TEX,Adolis Garcia ,599,0.238,0.035,28,13,79,21,89,23,11,8,23,,678.0,79.0
Sal Frelick,4.57,7,15,MIL,Sal Frelick ,452,0.257,0.036,3,4,46,14,30,11,10,7,209,,678.0,226.0
Oliver Dunn,4.62,8,15,MIL,Oliver Dunn ,238,0.222,0.045,1,2,12,5,8,4,3,2,361,,677.0,439.0
Bryan De La Cruz,4.62,8,14,ATL,Bryan De La Cruz ,180,0.249,0.034,5,3,17,5,20,6,1,1,333,,677.0,497.0
Tyrone Taylor,4.67,6,15,NYM,Tyrone Taylor ,286,0.244,0.033,8,5,38,10,34,9,7,4,198,,676.0,390.0
Ryan Mountcastle,4.67,6,13,BAL,Ryan Mountcastle ,517,0.266,0.035,17,9,60,17,69,18,3,5,100,,676.0,159.0
Dansby Swanson,4.67,9,16,CHC,Dansby Swanson ,631,0.25,0.035,20,11,84,23,76,21,14,9,25,,676.0,45.0
Freddy Fermin,4.67,6,16,KC,Freddy Fermin ,282,0.273,0.038,5,3,24,8,25,8,1,2,302,,676.0,394.0
Nolan Schanuel,4.67,9,16,LAA,Nolan Schanuel ,549,0.249,0.038,7,6,50,16,32,13,4,5,194,,676.0,127.0
Ke'Bryan Hayes,4.71,7,15,PIT,Ke'Bryan Hayes ,539,0.246,0.032,8,6,56,17,45,15,12,8,137,,675.0,136.0
Jacob Wilson,4.71,7,15,ATH,Jacob Wilson ,488,0.245,0.048,0,4,25,11,9,8,0,4,357,,675.0,187.0
Kyle Isbel,4.71,7,16,KC,Kyle Isbel ,472,0.236,0.033,8,6,60,16,45,14,10,7,153,,675.0,203.0
Nick Gonzales,4.71,7,15,PIT,Nick Gonzales ,475,0.247,0.036,7,5,39,13,44,14,3,4,202,,675.0,200.0
Jake Burger,4.78,9,16,TEX,Jake Burger ,570,0.248,0.037,27,12,64,19,74,20,1,5,92,,674.0,104.0
Jake Cronenworth,4.78,9,15,SD,Jake Cronenworth ,587,0.238,0.033,14,9,65,19,67,19,5,5,102,,674.0,87.0
Spencer Torkelson,4.83,6,14,DET,Spencer Torkelson ,238,0.223,0.034,7,4,25,7,23,7,0,2,306,,673.0,435.0
Jose Tena,4.86,7,14,WSH,Jose Tena ,347,0.268,0.047,3,3,15,7,15,7,5,4,321,,673.0,326.0
Brayan Rocchio,4.86,7,14,CLE,Brayan Rocchio ,508,0.207,0.044,4,5,28,11,20,10,5,5,280,,673.0,165.0
Royce Lewis,4.86,7,14,MIN,Royce Lewis ,514,0.26,0.041,21,10,54,16,68,18,4,5,109,,673.0,159.0
Otto Lopez,5.0,7,14,MIA,Otto Lopez ,452,0.271,0.048,3,4,25,10,20,9,9,6,273,,670.0,218.0
Heston Kjerstad,5.0,8,13,BAL,Heston Kjerstad ,366,0.248,0.049,6,4,14,7,21,8,1,3,331,,670.0,304.0
Luis Matos,5.0,6,14,SF,Luis Matos ,214,0.23,0.035,3,2,15,5,20,6,0,2,345,,670.0,456.0
Gabriel Moreno,5.0,6,16,AZ,Gabriel Moreno ,454,0.27,0.038,6,5,38,13,46,14,4,4,200,,670.0,216.0
Nolan Gorman,5.0,8,15,STL,Nolan Gorman ,416,0.221,0.035,19,8,45,13,53,14,5,4,144,,670.0,254.0
Chris Taylor,5.0,10,17,LAD,Chris Taylor ,272,0.22,0.032,6,4,32,9,29,9,6,4,236,,670.0,398.0
Yoan Moncada,5.0,8,16,LAA,Yoan Moncada ,449,0.248,0.047,6,5,24,10,25,10,1,4,300,,670.0,221.0
Ivan Herrera,5.0,7,15,STL,Ivan Herrera ,372,0.296,0.051,3,3,25,9,19,8,3,3,308,,670.0,298.0
Jonah Heim,5.0,6,16,TEX,Jonah Heim ,357,0.235,0.033,11,6,37,11,48,13,1,3,201,,670.0,313.0
Oswaldo Cabrera,5.0,8,14,NYY,Oswaldo Cabrera ,340,0.239,0.034,7,4,39,11,32,10,5,4,212,,670.0,330.0
Michael Harris II,5.12,8,14,ATL,Michael Harris II ,597,0.275,0.038,18,10,73,20,61,19,14,9,52,,668.0,71.0
David Hamilton,5.12,8,14,BOS,David Hamilton ,146,0.248,0.047,1,1,10,3,6,3,7,3,346,,668.0,522.0
