player,avg,ngames,teamgames,team,Name,PA,AVG,eAVG,HR,eHR,R,eR,RBI,eRBI,SB,eSB,Rank,Unnamed: 13,PA_forecast,PAdiff
Ben Gamel,4.0,7,29,HOU,Ben Gamel ,204,0.234,0.084,0,2,4,2,3,2,0,2,412,,688.0,484.0
Austin Hays,4.0,15,30,CIN,Austin Hays ,417,0.258,0.033,9,6,47,14,40,12,3,4,180,,688.0,271.0
Nolan Arenado,4.0,16,30,STL,Nolan Arenado ,612,0.268,0.036,21,11,70,20,82,22,3,6,60,,688.0,76.0
Santiago Espinal,4.0,18,30,CIN,Santiago Espinal ,190,0.256,0.033,3,2,19,6,20,6,3,2,325,,688.0,498.0
Josh Rojas,4.0,11,31,CWS,Josh Rojas ,361,0.24,0.032,5,4,41,12,31,10,9,5,206,,688.0,327.0
Josh Smith,4.06,18,32,TEX,Josh Smith ,363,0.229,0.034,7,5,38,11,29,10,4,4,218,,687.0,324.0
Thairo Estrada,4.07,14,33,COL,Thairo Estrada ,468,0.247,0.033,12,7,55,16,53,15,9,6,127,,687.0,219.0
Mark Vientos,4.11,18,31,NYM,Mark Vientos ,609,0.239,0.039,24,12,53,18,63,19,1,6,126,,686.0,77.0
Miguel Andujar,4.11,18,31,ATH,Miguel Andujar ,306,0.271,0.039,3,3,21,8,20,7,2,3,319,,686.0,380.0
Nolan Schanuel,4.14,22,33,LAA,Nolan Schanuel ,549,0.249,0.038,7,6,50,16,32,13,4,5,194,,685.0,136.0
Richie Palacios,4.14,14,30,TB,Richie Palacios ,325,0.233,0.035,8,5,34,10,29,9,10,6,205,,685.0,360.0
Gavin Lux,4.18,17,30,CIN,Gavin Lux ,428,0.258,0.04,5,4,37,12,30,11,3,4,245,,685.0,257.0
Michael Toglia,4.19,21,33,COL,Michael Toglia ,536,0.199,0.033,19,10,59,17,49,16,6,6,120,,685.0,149.0
Kerry Carpenter,4.21,19,31,DET,Kerry Carpenter ,475,0.272,0.038,23,10,56,16,69,18,2,4,108,,684.0,209.0
Daniel Schneemann,4.24,17,32,CLE,Daniel Schneemann ,166,0.216,0.045,1,1,6,3,7,3,1,1,390,,684.0,518.0
Christopher Morel,4.27,15,30,TB,Christopher Morel ,517,0.215,0.034,19,10,53,16,56,17,6,5,113,,683.0,166.0
Andres Gimenez,4.29,17,29,TOR,Andres Gimenez ,583,0.257,0.033,11,8,66,19,58,18,26,12,82,,683.0,100.0
Joey Loperfido,4.33,9,29,TOR,Joey Loperfido ,134,0.217,0.044,0,1,6,2,6,2,1,1,400,,682.0,548.0
Addison Barger,4.33,9,29,TOR,Addison Barger ,155,0.203,0.044,2,1,7,3,9,3,0,1,389,,682.0,527.0
Connor Joe,4.33,9,32,SD,Connor Joe ,306,0.237,0.033,6,4,36,10,27,9,2,3,253,,682.0,376.0
Grant McCray,4.38,13,30,SF,Grant McCray ,127,0.197,0.043,2,1,6,2,4,2,2,1,379,,681.0,554.0
Garrett Mitchell,4.38,16,31,MIL,Garrett Mitchell ,452,0.254,0.05,7,5,32,12,20,9,12,7,233,,681.0,229.0
Rhys Hoskins,4.38,16,31,MIL,Rhys Hoskins ,533,0.222,0.041,18,9,44,15,54,17,2,5,166,,681.0,148.0
Ryan Mountcastle,4.38,13,29,BAL,Ryan Mountcastle ,517,0.266,0.035,17,9,60,17,69,18,3,5,100,,681.0,164.0
Eugenio Suarez,4.4,20,34,AZ,Eugenio Suarez ,588,0.238,0.035,25,12,72,20,85,22,2,5,72,,681.0,93.0
Alec Burleson,4.41,17,30,STL,Alec Burleson ,486,0.257,0.038,11,7,42,14,46,15,4,4,169,,681.0,195.0
Josh Jung,4.42,19,32,TEX,Josh Jung ,522,0.257,0.036,19,10,55,17,55,16,7,6,97,,680.0,158.0
Hunter Renfroe,4.43,14,33,KC,Hunter Renfroe ,377,0.235,0.034,14,7,41,12,46,13,1,3,193,,680.0,303.0
Edmundo Sosa,4.43,14,30,PHI,Edmundo Sosa ,167,0.255,0.034,4,2,21,5,17,5,3,2,326,,680.0,513.0
Jeimer Candelario,4.43,14,30,CIN,Jeimer Candelario ,498,0.236,0.034,18,9,56,16,58,17,4,4,122,,680.0,182.0
Adolis Garcia,4.44,18,32,TEX,Adolis Garcia ,599,0.238,0.035,28,13,79,21,89,23,11,8,23,,680.0,81.0
Jackson Holliday,4.47,15,29,BAL,Jackson Holliday ,460,0.197,0.043,5,5,29,11,25,10,3,4,276,,680.0,220.0
Spencer Torkelson,4.5,16,31,DET,Spencer Torkelson ,238,0.223,0.034,7,4,25,7,23,7,0,2,306,,679.0,441.0
Tyler Stephenson,4.5,8,30,CIN,Tyler Stephenson ,468,0.262,0.035,14,8,59,16,59,16,1,4,147,,679.0,211.0
Dylan Moore,4.5,16,32,SEA,Dylan Moore ,399,0.206,0.033,11,6,47,13,40,12,21,16,157,,679.0,280.0
Trey Sweeney,4.53,19,31,DET,Trey Sweeney ,335,0.222,0.046,6,4,16,7,24,8,2,3,316,,678.0,343.0
Kyle Isbel,4.53,15,33,KC,Kyle Isbel ,472,0.236,0.033,8,6,60,16,45,14,10,7,153,,678.0,206.0
Max Schuemann,4.53,15,31,ATH,Max Schuemann ,145,0.217,0.046,1,1,8,3,5,2,1,1,387,,678.0,533.0
Max Kepler,4.56,16,30,PHI,Max Kepler ,450,0.249,0.034,13,7,54,15,52,15,2,4,158,,678.0,228.0
David Hamilton,4.56,16,29,BOS,David Hamilton ,146,0.248,0.047,1,1,10,3,6,3,7,3,346,,678.0,532.0
Bryan De La Cruz,4.56,16,31,ATL,Bryan De La Cruz ,180,0.249,0.034,5,3,17,5,20,6,1,1,333,,678.0,498.0
MJ Melendez,4.56,18,33,KC,MJ Melendez ,472,0.213,0.033,14,8,44,14,43,14,3,4,173,,678.0,206.0
Willi Castro,4.57,14,31,MIN,Willi Castro ,556,0.248,0.033,11,8,75,20,50,16,21,10,91,,678.0,122.0
Gary Sanchez,4.58,12,29,BAL,Gary Sanchez ,231,0.217,0.034,11,5,25,7,32,8,0,2,274,,678.0,447.0
Luis Rengifo,4.6,10,33,LAA,Luis Rengifo ,557,0.273,0.037,14,9,69,19,57,17,25,11,62,,677.0,120.0
Nick Castellanos,4.6,15,30,PHI,Nick Castellanos ,617,0.265,0.035,22,11,74,21,84,22,7,6,37,,677.0,60.0
Anthony Volpe,4.61,18,33,NYY,Anthony Volpe ,628,0.236,0.036,11,8,59,19,47,17,17,10,119,,677.0,49.0
Maikel Garcia,4.62,16,33,KC,Maikel Garcia ,559,0.249,0.035,5,5,57,17,41,15,23,11,167,,677.0,118.0
Pavin Smith,4.62,16,34,AZ,Pavin Smith ,317,0.24,0.036,14,6,43,11,53,13,2,3,185,,677.0,360.0
Michael Conforto,4.62,13,23,LAD,Michael Conforto ,457,0.239,0.037,15,8,47,14,51,15,1,4,172,,677.0,220.0
Garrett Hampson,4.64,11,34,AZ,Garrett Hampson ,133,0.242,0.031,1,1,13,4,10,3,3,2,348,,676.0,543.0
Jordan Walker,4.64,11,30,STL,Jordan Walker ,524,0.232,0.037,12,8,41,14,46,15,4,5,170,,676.0,152.0
Vidal Brujan,4.67,9,24,CHC,Vidal Brujan ,118,0.211,0.038,0,1,7,3,5,2,1,1,398,,676.0,558.0
George Springer,4.67,15,29,TOR,George Springer ,597,0.242,0.034,20,11,76,21,63,19,13,9,49,,676.0,79.0
Ivan Herrera,4.67,15,30,STL,Ivan Herrera ,372,0.296,0.051,3,3,25,9,19,8,3,3,308,,676.0,304.0
Colt Keith,4.68,19,31,DET,Colt Keith ,522,0.258,0.047,6,5,25,11,29,12,3,5,264,,676.0,154.0
Gabriel Moreno,4.69,13,34,AZ,Gabriel Moreno ,454,0.27,0.038,6,5,38,13,46,14,4,4,200,,676.0,222.0
Gavin Sheets,4.69,13,32,SD,Gavin Sheets ,136,0.227,0.032,3,2,10,3,14,4,0,1,360,,676.0,540.0
Heston Kjerstad,4.71,14,29,BAL,Heston Kjerstad ,366,0.248,0.049,6,4,14,7,21,8,1,3,331,,675.0,309.0
Evan Carter,4.71,14,32,TEX,Evan Carter ,462,0.191,0.044,7,5,31,12,22,10,2,4,270,,675.0,213.0
Nelson Velazquez,4.71,7,33,KC,Nelson Velazquez ,137,0.215,0.035,6,3,18,5,17,4,1,1,336,,675.0,538.0
Nick Loftin,4.73,11,33,KC,Nick Loftin ,127,0.193,0.044,0,1,5,2,5,2,0,1,410,,675.0,548.0
Jerar Encarnacion,4.75,16,30,SF,Jerar Encarnacion ,223,0.249,0.048,4,3,12,5,16,6,0,2,349,,674.0,451.0
Mitch Garver,4.79,14,32,SEA,Mitch Garver ,319,0.214,0.034,14,6,34,10,41,11,0,3,227,,674.0,355.0
Jose Miranda,4.79,19,31,MIN,Jose Miranda ,398,0.256,0.034,8,5,35,11,39,12,1,3,221,,674.0,276.0
Jake Burger,4.81,21,32,TEX,Jake Burger ,570,0.248,0.037,27,12,64,19,74,20,1,5,92,,673.0,103.0
Royce Lewis,4.82,11,31,MIN,Royce Lewis ,514,0.26,0.041,21,10,54,16,68,18,4,5,109,,673.0,159.0
Enrique Hernandez,4.82,11,23,LAD,Enrique Hernandez ,272,0.233,0.033,7,4,30,9,30,9,1,2,268,,673.0,401.0
Paul DeJong,4.83,18,30,WSH,Paul DeJong ,249,0.21,0.032,10,5,26,8,27,8,2,2,262,,673.0,424.0
Brandon Drury,4.85,13,31,CWS,Brandon Drury ,243,0.212,0.033,6,4,23,7,22,7,0,2,314,,673.0,430.0
Mark Canha,4.9,10,31,MIL,Mark Canha ,276,0.247,0.034,5,3,30,9,28,8,4,3,260,,672.0,396.0
Victor Caratini,4.92,13,29,HOU,Victor Caratini ,214,0.249,0.034,6,3,22,6,23,7,0,2,327,,671.0,457.0
Sean Bouchard,4.93,14,33,COL,Sean Bouchard ,170,0.191,0.044,0,1,10,4,6,3,2,2,377,,671.0,501.0
Jake Fraley,4.94,17,30,CIN,Jake Fraley ,405,0.263,0.035,11,6,47,13,44,13,16,10,149,,671.0,266.0
Jake Cronenworth,4.95,19,32,SD,Jake Cronenworth ,587,0.238,0.033,14,9,65,19,67,19,5,5,102,,671.0,84.0
Luis Matos,5.0,16,30,SF,Luis Matos ,214,0.23,0.035,3,2,15,5,20,6,0,2,345,,670.0,456.0
Hunter Goodman,5.0,12,33,COL,Hunter Goodman ,313,0.199,0.045,8,5,17,7,24,8,0,3,313,,670.0,357.0
Michael Harris II,5.0,19,31,ATL,Michael Harris II ,597,0.275,0.038,18,10,73,20,61,19,14,9,52,,670.0,73.0
Chris Taylor,5.0,10,23,LAD,Chris Taylor ,272,0.22,0.032,6,4,32,9,29,9,6,4,236,,670.0,398.0
Amed Rosario,5.0,12,30,WSH,Amed Rosario ,231,0.275,0.038,2,2,25,7,22,7,6,3,278,,670.0,439.0
Randal Grichuk,5.0,13,34,AZ,Randal Grichuk ,259,0.276,0.038,9,5,34,9,35,9,1,3,241,,670.0,411.0
Dansby Swanson,5.0,14,24,CHC,Dansby Swanson ,631,0.25,0.035,20,11,84,23,76,21,14,9,25,,670.0,39.0
Jon Singleton,5.0,13,29,HOU,Jon Singleton ,116,0.211,0.036,2,1,10,3,10,3,0,1,386,,670.0,554.0
Xander Bogaerts,5.0,17,32,SD,Xander Bogaerts ,602,0.277,0.038,14,9,72,20,59,18,14,9,59,,670.0,68.0
Yoan Moncada,5.0,10,33,LAA,Yoan Moncada ,449,0.248,0.047,6,5,24,10,25,10,1,4,300,,670.0,221.0
Adam Frazier,5.0,13,30,PIT,Adam Frazier ,218,0.226,0.031,3,2,25,7,20,6,3,2,309,,670.0,452.0
Lenyn Sosa,5.06,17,31,CWS,Lenyn Sosa ,348,0.232,0.036,7,5,21,8,25,9,1,3,275,,669.0,321.0
Jacob Wilson,5.06,18,31,ATH,Jacob Wilson ,488,0.245,0.048,0,4,25,11,9,8,0,4,357,,669.0,181.0
Gio Urshela,5.07,14,31,ATH,Gio Urshela ,390,0.269,0.036,7,5,35,11,43,12,2,3,207,,669.0,279.0
Ramon Laureano,5.08,13,29,BAL,Ramon Laureano ,227,0.242,0.033,6,3,25,7,23,7,5,3,261,,669.0,442.0
Will Smith,5.11,9,23,LAD,Will Smith ,493,0.255,0.036,18,9,68,18,67,18,2,4,110,,668.0,175.0
Oliver Dunn,5.12,17,31,MIL,Oliver Dunn ,238,0.222,0.045,1,2,12,5,8,4,3,2,361,,668.0,430.0
Mickey Moniak,5.12,17,33,LAA,Mickey Moniak ,321,0.234,0.034,10,5,33,10,35,10,4,3,208,,668.0,347.0
Brayan Rocchio,5.12,16,32,CLE,Brayan Rocchio ,508,0.207,0.044,4,5,28,11,20,10,5,5,280,,668.0,160.0
Nick Gonzales,5.13,15,30,PIT,Nick Gonzales ,475,0.247,0.036,7,5,39,13,44,14,3,4,202,,668.0,193.0
Will Benson,5.14,7,30,CIN,Will Benson ,174,0.22,0.037,4,2,17,5,14,5,6,3,317,,667.0,493.0
Matt Thaiss,5.17,12,31,CWS,Matt Thaiss ,119,0.208,0.035,1,1,8,3,8,3,1,1,381,,667.0,548.0
Davis Schneider,5.2,10,29,TOR,Davis Schneider ,210,0.223,0.039,6,3,21,6,20,6,1,2,320,,666.0,456.0
Zach McKinstry,5.21,14,31,DET,Zach McKinstry ,216,0.219,0.031,3,2,22,6,16,6,7,4,291,,666.0,450.0
Seth Brown,5.31,16,31,ATH,Seth Brown ,338,0.23,0.033,12,6,31,10,41,11,3,3,199,,664.0,326.0
Jhonkensy Noel,5.33,18,32,CLE,Jhonkensy Noel ,346,0.222,0.049,10,6,21,8,24,9,0,3,304,,664.0,318.0
Javier Baez,5.33,15,31,DET,Javier Baez ,296,0.21,0.03,7,4,29,9,35,10,6,4,229,,664.0,368.0
Keibert Ruiz,5.36,14,30,WSH,Keibert Ruiz ,470,0.243,0.034,11,7,41,13,49,15,2,4,175,,664.0,194.0
J.T. Realmuto,5.36,14,30,PHI,J.T. Realmuto ,458,0.26,0.035,15,8,56,16,55,15,7,5,112,,664.0,206.0
Freddy Fermin,5.38,13,33,KC,Freddy Fermin ,282,0.273,0.038,5,3,24,8,25,8,1,2,302,,663.0,381.0
Zack Gelof,5.38,13,31,ATH,Zack Gelof ,584,0.233,0.037,16,9,55,17,45,16,20,10,117,,663.0,79.0
