,#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
55,54,Eloy Jimenez,CHW,84.0,292.0,327.0,86.0,58.0,12.0,0.0,16.0,40.0,54.0,28.0,0.0,72.0,3.0,4.0,0.0,8.0,0.0,0.0,0.295
56,55,Nolan Arenado,STL,148.0,557.0,620.0,163.0,90.0,42.0,1.0,30.0,73.0,103.0,52.0,3.0,72.0,7.0,4.0,0.0,15.0,5.0,3.0,0.293
57,56,Starling Marte,NYM,118.0,466.0,505.0,136.0,91.0,24.0,5.0,16.0,76.0,63.0,26.0,0.0,97.0,13.0,0.0,0.0,18.0,18.0,9.0,0.292
58,57,Jose Iglesias,COL,118.0,439.0,467.0,128.0,95.0,30.0,0.0,3.0,48.0,47.0,17.0,0.0,56.0,8.0,3.0,0.0,11.0,2.0,3.0,0.292
59,58,Lourdes Gurriel Jr.,TOR,121.0,453.0,493.0,132.0,94.0,32.0,1.0,5.0,52.0,52.0,31.0,1.0,83.0,6.0,2.0,0.0,11.0,3.0,4.0,0.291
60,59,Carlos Correa,MIN,136.0,522.0,590.0,152.0,105.0,24.0,1.0,22.0,70.0,64.0,61.0,2.0,121.0,3.0,4.0,0.0,18.0,0.0,1.0,0.291
61,60,Vaughn Grissom,ATL,41.0,141.0,156.0,41.0,30.0,6.0,0.0,5.0,24.0,18.0,11.0,1.0,34.0,3.0,1.0,0.0,0.0,5.0,2.0,0.291
62,61,Bo Bichette,TOR,159.0,652.0,697.0,189.0,121.0,43.0,1.0,24.0,91.0,93.0,41.0,0.0,155.0,2.0,2.0,0.0,21.0,13.0,8.0,0.29
63,62,Danny Mendick,CHW,31.0,97.0,106.0,28.0,20.0,4.0,1.0,3.0,22.0,15.0,7.0,0.0,23.0,1.0,0.0,1.0,2.0,1.0,0.0,0.289
64,63,Michael Brantley,HOU,64.0,243.0,277.0,70.0,50.0,14.0,1.0,5.0,28.0,26.0,31.0,2.0,30.0,1.0,1.0,1.0,1.0,1.0,1.0,0.288
65,64,Bryce Harper,PHI,99.0,370.0,426.0,106.0,59.0,28.0,1.0,18.0,63.0,65.0,46.0,9.0,87.0,3.0,7.0,0.0,13.0,11.0,4.0,0.286
66,65,Wynton Bernard,COL,12.0,42.0,42.0,12.0,11.0,1.0,0.0,0.0,9.0,3.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,3.0,1.0,0.286
67,66,Christian Arroyo,BOS,87.0,280.0,300.0,80.0,57.0,16.0,1.0,6.0,32.0,36.0,13.0,2.0,49.0,3.0,2.0,2.0,7.0,5.0,1.0,0.286
68,67,Edward Olivares,KCR,53.0,161.0,174.0,46.0,34.0,8.0,0.0,4.0,24.0,15.0,10.0,0.0,36.0,2.0,1.0,0.0,1.0,2.0,3.0,0.286
69,68,Dairon Blanco,KCR,5.0,7.0,7.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.286
70,69,Logan O'Hoppe,LAA,5.0,14.0,16.0,4.0,4.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.286
71,70,Gio Urshela,MIN,144.0,501.0,551.0,143.0,100.0,27.0,3.0,13.0,61.0,64.0,41.0,2.0,96.0,2.0,7.0,0.0,21.0,1.0,0.0,0.285
72,71,Alejandro Kirk,TOR,139.0,470.0,541.0,134.0,101.0,19.0,0.0,14.0,59.0,63.0,63.0,2.0,58.0,4.0,4.0,0.0,11.0,0.0,0.0,0.285
73,72,Luis Robert,CHW,98.0,380.0,401.0,108.0,78.0,18.0,0.0,12.0,54.0,56.0,17.0,1.0,77.0,3.0,1.0,0.0,6.0,11.0,3.0,0.284
74,73,Donovan Solano,CIN,80.0,278.0,304.0,79.0,59.0,16.0,0.0,4.0,22.0,24.0,19.0,1.0,61.0,5.0,2.0,0.0,5.0,0.0,0.0,0.284
75,74,Julio Rodriguez,SEA,132.0,511.0,560.0,145.0,89.0,25.0,3.0,28.0,84.0,75.0,40.0,4.0,145.0,8.0,1.0,0.0,7.0,25.0,7.0,0.284
76,75,Jake McCarthy,ARI,99.0,321.0,354.0,91.0,64.0,16.0,3.0,8.0,53.0,43.0,23.0,0.0,76.0,6.0,1.0,3.0,3.0,23.0,3.0,0.283
77,76,Mike Trout,LAA,119.0,438.0,499.0,124.0,54.0,28.0,2.0,40.0,85.0,80.0,54.0,8.0,139.0,6.0,1.0,0.0,6.0,1.0,0.0,0.283
78,77,Amed Rosario,CLE,153.0,637.0,670.0,180.0,134.0,26.0,9.0,11.0,86.0,71.0,25.0,0.0,111.0,4.0,4.0,0.0,19.0,18.0,4.0,0.283
79,78,Brendan Donovan,STL,126.0,391.0,468.0,110.0,83.0,21.0,1.0,5.0,64.0,45.0,60.0,1.0,70.0,14.0,2.0,1.0,8.0,2.0,3.0,0.281
80,79,Taylor Ward,LAA,135.0,495.0,564.0,139.0,92.0,22.0,2.0,23.0,73.0,65.0,60.0,0.0,120.0,4.0,5.0,0.0,5.0,5.0,3.0,0.281
81,80,Nico Hoerner,CHC,135.0,481.0,517.0,135.0,98.0,22.0,5.0,10.0,60.0,55.0,28.0,4.0,57.0,6.0,2.0,0.0,11.0,20.0,2.0,0.281
82,81,Alex Verdugo,BOS,152.0,593.0,644.0,166.0,115.0,39.0,1.0,11.0,75.0,74.0,42.0,2.0,86.0,3.0,6.0,0.0,14.0,1.0,3.0,0.28
83,82,Alec Bohm,PHI,152.0,586.0,631.0,164.0,124.0,24.0,3.0,13.0,79.0,72.0,31.0,1.0,110.0,4.0,10.0,0.0,18.0,2.0,3.0,0.28
84,83,Jose Ramirez,CLE,157.0,601.0,685.0,168.0,90.0,44.0,5.0,29.0,90.0,126.0,69.0,20.0,82.0,6.0,9.0,0.0,5.0,20.0,7.0,0.28
85,84,William Contreras,ATL,97.0,334.0,376.0,93.0,58.0,14.0,1.0,20.0,51.0,45.0,39.0,1.0,104.0,1.0,2.0,0.0,5.0,2.0,0.0,0.278
86,85,Justin Turner,LAD,128.0,468.0,532.0,130.0,81.0,36.0,0.0,13.0,61.0,81.0,50.0,1.0,89.0,6.0,8.0,0.0,13.0,3.0,0.0,0.278
87,86,Wander Franco,TBR,83.0,314.0,344.0,87.0,58.0,20.0,3.0,6.0,46.0,33.0,26.0,1.0,33.0,0.0,4.0,0.0,5.0,8.0,0.0,0.277
88,87,Jean Segura,PHI,98.0,354.0,387.0,98.0,79.0,9.0,0.0,10.0,45.0,33.0,25.0,1.0,58.0,7.0,1.0,0.0,16.0,13.0,6.0,0.277
89,88,Dansby Swanson,ATL,162.0,640.0,696.0,177.0,119.0,32.0,1.0,25.0,99.0,96.0,49.0,0.0,182.0,3.0,4.0,0.0,12.0,18.0,7.0,0.277
90,89,Stone Garrett,ARI,27.0,76.0,84.0,21.0,9.0,8.0,0.0,4.0,13.0,10.0,3.0,0.0,27.0,1.0,1.0,0.0,1.0,3.0,1.0,0.276
