date,lineup1,lineup2,lineup3,lineup4,lineup5,lineup6,lineup7,lineup8,lineup9,team
2023-03-23, Yordan Alvarez, Jeremy Pena, Alex Bregman, Jose Abreu, Chas McCormick, Jake Meyers, Mauricio Dubon, David Hensley, Martin Maldonado,HOU
2023-03-24, Rylan Bannon, Dixon Machado, Bligh Madris, Justin Dirden, J.J. Matijevic, Corey Julks, Korey Lee, David Hensley, Zach Cole,HOU
2023-03-25, Jeremy Pena, Yordan Alvarez, Alex Bregman, Jose Abreu, Justin Dirden, Jake Meyers, Chas McCormick, Mauricio Dubon, Martin Maldonado,HOU
2023-03-26, Jeremy Pena, Jake Meyers, Kyle Tucker, Alex Bregman, Jose Abreu, Yainer Diaz, Chas McCormick, Korey Lee, Mauricio Dubon,HOU
2023-02-25, Tony Kemp, Seth Brown, Ramon Laureano, JJ Bleday, Manny Pina, Jace Peterson, Dermis Garcia, Ryan Noda, Nick Allen,OAK
2023-02-26, Esteury Ruiz, Aledmys Diaz, Shea Langeliers, Jesus Aguilar, Conner Capel, Brent Rooker, Jordan Diaz, Zack Gelof, Kevin Smith,OAK
2023-02-27, Tony Kemp, Ramon Laureano, Seth Brown, Brent Rooker, Jace Peterson, Dermis Garcia, JJ Bleday, Tyler Soderstrom, Nick Allen,OAK
2023-02-28, Tony Kemp, Aledmys Diaz, Seth Brown, Jesus Aguilar, Jace Peterson, Conner Capel, Shea Langeliers, Ryan Noda, Esteury Ruiz,OAK
2023-03-01, Nick Allen, Conner Capel, JJ Bleday, Brent Rooker, Dermis Garcia, Jordan Diaz, Yohel Pozo, Kevin Smith, Zack Gelof,OAK
2023-03-02, Tony Kemp, Aledmys Diaz, Seth Brown, Jesus Aguilar, Ryan Noda, Shea Langeliers, Jace Peterson, JJ Bleday, Esteury Ruiz,OAK
2023-03-03, Nick Allen, Conner Capel, Ramon Laureano, Ryan Noda, Brent Rooker, Tyler Soderstrom, Cristian Pache, Tyler Wade, Zack Gelof,OAK
2023-03-04a, Esteury Ruiz, Tony Kemp, Aledmys Diaz, Ryan Noda, Ramon Laureano, Jace Peterson, Brent Rooker, Yohel Pozo, Denzel Clarke,OAK
2023-03-04b, Nick Allen, Conner Capel, Shea Langeliers, Seth Brown, Jesus Aguilar, JJ Bleday, Jonah Bride, Jordan Diaz, Cristian Pache,OAK
2023-03-05a, Esteury Ruiz, Kevin Smith, Ramon Laureano, Brent Rooker, Dermis Garcia, Yohel Pozo, Pablo Reyes, Logan Davidson, Denzel Clarke,OAK
2023-03-05b, Cristian Pache, Seth Brown, Shea Langeliers, Jonah Bride, Kevin Cron, Zack Gelof, Ernie Clement, Lawrence Butler, Max Muncy,OAK
2023-03-07, Tony Kemp, Aledmys Diaz, Ryan Noda, Shea Langeliers, Jesus Aguilar, JJ Bleday, Ramon Laureano, Jace Peterson, Esteury Ruiz,OAK
2023-03-09, Tony Kemp, Aledmys Diaz, Conner Capel, Shea Langeliers, Jesus Aguilar, Jace Peterson, Ramon Laureano, Ryan Noda, Esteury Ruiz,OAK
2023-03-10, Esteury Ruiz, Seth Brown, Aledmys Diaz, Jesus Aguilar, Jace Peterson, Ramon Laureano, JJ Bleday, Nick Allen, Kyle McCann,OAK
2023-03-11, Tony Kemp, Jonah Bride, Conner Capel, Shea Langeliers, Ryan Noda, Brent Rooker, JJ Bleday, Kevin Smith, Lawrence Butler,OAK
2023-03-12a, Esteury Ruiz, Conner Capel, Shea Langeliers, Jesus Aguilar, Jace Peterson, Jonah Bride, JJ Bleday, Nick Allen, Tyler Wade,OAK
2023-03-12b, Tony Kemp, Aledmys Diaz, Seth Brown, Ramon Laureano, Ryan Noda, Brent Rooker, Kyle McCann, Kevin Smith, Cristian Pache,OAK
2023-03-13, Esteury Ruiz, Tony Kemp, Aledmys Diaz, Jesus Aguilar, Jace Peterson, Ramon Laureano, Conner Capel, Tyler Soderstrom, Nick Allen,OAK
2023-03-14, Jace Peterson, Shea Langeliers, Seth Brown, Brent Rooker, Ryan Noda, Cristian Pache, Cristian Pache, Tyler Wade, Cody Thomas,OAK
2023-03-16, Nick Allen, Esteury Ruiz, Ramon Laureano, Brent Rooker, Kevin Smith, Cristian Pache, Kyle McCann, Dermis Garcia, Pablo Reyes,OAK
2023-03-17, Tony Kemp, Aledmys Diaz, Jesus Aguilar, Seth Brown, Shea Langeliers, Jace Peterson, Ramon Laureano, Conner Capel, Cristian Pache,OAK
2023-03-18, Esteury Ruiz, Seth Brown, Aledmys Diaz, Jesus Aguilar, Ramon Laureano, Shea Langeliers, Brent Rooker, Tony Kemp, Nick Allen,OAK
2023-03-19, Esteury Ruiz, Ryan Noda, Shea Langeliers, Conner Capel, Tyler Soderstrom, Nick Allen, JJ Bleday, Tyler Wade, Zack Gelof,OAK
2023-03-21, Tony Kemp, Conner Capel, Aledmys Diaz, Jesus Aguilar, Jace Peterson, Ramon Laureano, Shea Langeliers, Ryan Noda, Esteury Ruiz,OAK
2023-03-22, Tony Kemp, Seth Brown, Aledmys Diaz, Jesus Aguilar, Jace Peterson, Ramon Laureano, Shea Langeliers, Conner Capel, Esteury Ruiz,OAK
2023-03-23, Nick Allen, Conner Capel, Ryan Noda, Brent Rooker, Kyle McCann, Kevin Smith, Tyler Wade, Pablo Reyes, Cristian Pache,OAK
2023-03-24a, Cal Stevenson, Cody Thomas, Zack Gelof, Tyler Soderstrom, Jonah Bride, Jordan Diaz, Dermis Garcia, Lawrence Butler, Max Muncy,OAK
2023-03-24b, Tony Kemp, Aledmys Diaz, Seth Brown, Jesus Aguilar, Ramon Laureano, Jace Peterson, Shea Langeliers, Ryan Noda, Esteury Ruiz,OAK
2023-03-25, Nick Allen, Conner Capel, Kyle McCann, Brent Rooker, Ryan Noda, Kevin Smith, Cristian Pache, Tyler Wade, Pablo Reyes,OAK
2023-03-26, Tony Kemp, Aledmys Diaz, Ramon Laureano, Jesus Aguilar, Brent Rooker, Shea Langeliers, Seth Brown, Nick Allen, Esteury Ruiz,OAK
2023-03-27, Tony Kemp, Aledmys Diaz, Seth Brown, Jesus Aguilar, Jace Peterson, Ramon Laureano, Ryan Noda, Shea Langeliers, Esteury Ruiz,OAK
2023-02-25, Cavan Biggio, Santiago Espinal, Vladimir Guerrero Jr., Daulton Varsho, Danny Jansen, Addison Barger, Otto Lopez, Nathan Lukes, Vinny Capra,TOR
2023-02-26, Whit Merrifield, Bo Bichette, Vladimir Guerrero Jr., Matt Chapman, Daulton Varsho, Kevin Kiermaier, Cavan Biggio, Rob Brantly, Zach Britton,TOR
2023-02-27, Santiago Espinal, Spencer Horwitz, Nathan Lukes, Otto Lopez, Leo Jimenez, Vinny Capra, Wynton Bernard, Stevie Berman, Phil Clarke,TOR
2023-02-28a, George Springer, Bo Bichette, Vladimir Guerrero Jr., Matt Chapman, Cavan Biggio, Danny Jansen, Kevin Kiermaier, Santiago Espinal, Cam Eden,TOR
2023-02-28b, Whit Merrifield, Daulton Varsho, Spencer Horwitz, Orelvis Martinez, Addison Barger, Nathan Lukes, Rob Brantly, Wynton Bernard, Zach Britton,TOR
2023-03-01, Cavan Biggio, Otto Lopez, Addison Barger, Vinny Capra, Zach Britton, Leo Jimenez, Rob Brantly, Andres Sosa, Jamie Ritchie,TOR
2023-03-02, George Springer, Bo Bichette, Vladimir Guerrero Jr., Daulton Varsho, Matt Chapman, Whit Merrifield, Danny Jansen, Santiago Espinal, Kevin Kiermaier,TOR
2023-03-03, George Springer, Bo Bichette, Vladimir Guerrero Jr., Daulton Varsho, Matt Chapman, Cavan Biggio, Santiago Espinal, Spencer Horwitz, Rob Brantly,TOR
2023-03-04, Kevin Kiermaier, Danny Jansen, Cavan Biggio, Addison Barger, Otto Lopez, Nathan Lukes, Vinny Capra, Wynton Bernard, Andres Sosa,TOR
2023-03-05, George Springer, Bo Bichette, Daulton Varsho, Matt Chapman, Danny Jansen, Santiago Espinal, Spencer Horwitz, Nathan Lukes, Zach Britton,TOR
2023-03-07, Whit Merrifield, Bo Bichette, Daulton Varsho, Santiago Espinal, Cavan Biggio, Kevin Kiermaier, Addison Barger, Rob Brantly, Whit Merrifield,TOR
2023-03-08, George Springer, Bo Bichette, Daulton Varsho, Matt Chapman, Danny Jansen, Addison Barger, Leo Jimenez, Vinny Capra, Rainer Nunez,TOR
2023-03-09a, Kevin Kiermaier, Bo Bichette, Whit Merrifield, Daulton Varsho, Addison Barger, Wynton Bernard, Rob Brantly, Rainer Nunez, Will Robertson,TOR
2023-03-09b, George Springer, Cavan Biggio, Matt Chapman, Danny Jansen, Santiago Espinal, Nathan Lukes, Vinny Capra, Zach Britton, John Aiello,TOR
2023-03-10, Nathan Lukes, Orelvis Martinez, Zach Britton, Wynton Bernard, Leo Jimenez, Rob Brantly, Cam Eden, Rainer Nunez, LJ Talley,TOR
2023-03-11, George Springer, Bo Bichette, Brandon Belt, Matt Chapman, Daulton Varsho, Danny Jansen, Cavan Biggio, Santiago Espinal, Kevin Kiermaier,TOR
2023-03-12, George Springer, Bo Bichette, Cavan Biggio, Matt Chapman, Daulton Varsho, Whit Merrifield, Danny Jansen, Santiago Espinal, Cam Eden,TOR
2023-03-13, Whit Merrifield, Bo Bichette, Alejandro Kirk, Brandon Belt, Kevin Kiermaier, Orelvis Martinez, Addison Barger, Nathan Lukes, Rainer Nunez,TOR
2023-03-14, George Springer, Daulton Varsho, Matt Chapman, Cavan Biggio, Danny Jansen, Kevin Kiermaier, Santiago Espinal, Rob Brantly, Rainer Nunez,TOR
2023-03-15, Whit Merrifield, Bo Bichette, Vladimir Guerrero Jr., Brandon Belt, Alejandro Kirk, Daulton Varsho, Santiago Espinal, Cavan Biggio, Nathan Lukes,TOR
2023-03-16, Leo Jimenez, Addison Barger, Orelvis Martinez, Nathan Lukes, Rainer Nunez, Rob Brantly, Zach Britton, Wynton Bernard, Andres Sosa,TOR
2023-03-17a, George Springer, Bo Bichette, Vladimir Guerrero Jr., Brandon Belt, Whit Merrifield, Danny Jansen, Kevin Kiermaier, Ernie Clement, Gabriel Martinez,TOR
2023-03-17b, Cavan Biggio, Matt Chapman, Daulton Varsho, Alejandro Kirk, Santiago Espinal, Nathan Lukes, Rainer Nunez, Zach Britton, Cam Eden,TOR
2023-03-18, George Springer, Bo Bichette, Vladimir Guerrero Jr., Daulton Varsho, Matt Chapman, Cavan Biggio, Danny Jansen, Whit Merrifield, Kevin Kiermaier,TOR
2023-03-19, George Springer, Bo Bichette, Brandon Belt, Matt Chapman, Daulton Varsho, Whit Merrifield, Cavan Biggio, Santiago Espinal, Rob Brantly,TOR
2023-03-20, Kevin Kiermaier, Santiago Espinal, Vladimir Guerrero Jr., Danny Jansen, Nathan Lukes, Vinny Capra, Wynton Bernard, Ernie Clement, Rob Brantly,TOR
2023-03-22, George Springer, Bo Bichette, Vladimir Guerrero Jr., Brandon Belt, Alejandro Kirk, Daulton Varsho, Matt Chapman, Cavan Biggio, Kevin Kiermaier,TOR
2023-03-23, Santiago Espinal, Danny Jansen, Otto Lopez, Spencer Horwitz, Orelvis Martinez, Vinny Capra, Wynton Bernard, Will Robertson, Alan Roden,TOR
2023-03-24, George Springer, Bo Bichette, Vladimir Guerrero Jr., Brandon Belt, Alejandro Kirk, Daulton Varsho, Matt Chapman, Whit Merrifield, Kevin Kiermaier,TOR
2023-03-25, George Springer, Bo Bichette, Vladimir Guerrero Jr., Daulton Varsho, Matt Chapman, Whit Merrifield, Cavan Biggio, Danny Jansen, Santiago Espinal,TOR
2023-03-26, Kevin Kiermaier, Matt Chapman, Cavan Biggio, Alejandro Kirk, Danny Jansen, Santiago Espinal, Nathan Lukes, Otto Lopez, Peyton Williams,TOR
2023-03-27, Whit Merrifield, Bo Bichette, Vladimir Guerrero Jr., Brandon Belt, Daulton Varsho, Danny Jansen, Cavan Biggio, Santiago Espinal, Kevin Kiermaier,TOR
2023-03-28, George Springer, Bo Bichette, Vladimir Guerrero Jr., Daulton Varsho, Alejandro Kirk, Brandon Belt, Matt Chapman, Whit Merrifield, Cavan Biggio,TOR
2023-02-25, Ronald Acuna Jr., Matt Olson, Austin Riley, Eddie Rosario, Ozzie Albies, Michael Harris II, Vaughn Grissom, Chadwick Tromp, Luke Waddell,ATL
2023-02-26, Kevin Pillar, Orlando Arcia, Marcell Ozuna, Sam Hilliard, Ryan Casteel, Ehire Adrianza, Eli White, Joe Hudson, Joe Dunand,ATL
2023-02-27, Ronald Acuna Jr., Matt Olson, Austin Riley, Sean Murphy, Michael Harris II, Ozzie Albies, Eddie Rosario, Orlando Arcia, Vaughn Grissom,ATL
2023-02-28, Kevin Pillar, Vaughn Grissom, Marcell Ozuna, Sam Hilliard, Chadwick Tromp, Eli White, Joe Dunand, Joshua Fuentes, Yolmer Sanchez,ATL
2023-03-01, Ronald Acuna Jr., Matt Olson, Austin Riley, Travis d'Arnaud, Michael Harris II, Ozzie Albies, Eddie Rosario, Orlando Arcia, Ehire Adrianza,ATL
2023-03-02, Forrest Wall, Vaughn Grissom, Marcell Ozuna, Kevin Pillar, Eli White, Joe Hudson, Ryan Casteel, Joe Dunand, Yolmer Sanchez,ATL
2023-03-03, Forrest Wall, Ehire Adrianza, Marcell Ozuna, Sam Hilliard, Ryan Casteel, Braden Shewmake, Adeiny Hechavarria, Joshua Fuentes, Magneuris Sierra,ATL
2023-03-04a, Eddie Rosario, Orlando Arcia, Michael Harris II, Travis d'Arnaud, Eli White, Forrest Wall, Ehire Adrianza, Yolmer Sanchez, Joe Dunand,ATL
2023-03-04b, Ronald Acuna Jr., Matt Olson, Austin Riley, Sean Murphy, Ozzie Albies, Sam Hilliard, Vaughn Grissom, Kevin Pillar, Ryan Casteel,ATL
2023-03-05, Ronald Acuna Jr., Matt Olson, Austin Riley, Travis d'Arnaud, Michael Harris II, Vaughn Grissom, Eddie Rosario, Marcell Ozuna, Orlando Arcia,ATL
2023-03-07, Ozzie Albies, Matt Olson, Austin Riley, Sean Murphy, Michael Harris II, Vaughn Grissom, Sam Hilliard, Marcell Ozuna, Kevin Pillar,ATL
2023-03-09, Orlando Arcia, Forrest Wall, Eli White, Sam Hilliard, Joe Dunand, Luke Waddell, Yolmer Sanchez, Joe Hudson, Cal Conley,ATL
2023-03-10, Vaughn Grissom, Michael Harris II, Travis d'Arnaud, Sam Hilliard, Kevin Pillar, Braden Shewmake, Ehire Adrianza, Joe Dunand, Magneuris Sierra,ATL
2023-03-11, Ozzie Albies, Matt Olson, Austin Riley, Sean Murphy, Marcell Ozuna, Braden Shewmake, Eli White, Forrest Wall, Justin Dean,ATL
2023-03-12, Kevin Pillar, Michael Harris II, Vaughn Grissom, Sam Hilliard, Jordan Luplow, Ehire Adrianza, Ryan Casteel, Joe Hudson, Yolmer Sanchez,ATL
2023-03-13, Braden Shewmake, Matt Olson, Austin Riley, Travis d'Arnaud, Michael Harris II, Marcell Ozuna, Jordan Luplow, Eli White, Orlando Arcia,ATL
2023-03-14, Ozzie Albies, Vaughn Grissom, Marcell Ozuna, Kevin Pillar, Sam Hilliard, Ehire Adrianza, Joe Dunand, Joe Hudson, Magneuris Sierra,ATL
2023-03-15, Ozzie Albies, Matt Olson, Austin Riley, Sean Murphy, Michael Harris II, Kevin Pillar, Braden Shewmake, Jordan Luplow, Orlando Arcia,ATL
2023-03-16, Eli White, Orlando Arcia, Travis d'Arnaud, Marcell Ozuna, Jordan Luplow, Sam Hilliard, Ryan Casteel, Ehire Adrianza, Yolmer Sanchez,ATL
2023-03-17, Ozzie Albies, Matt Olson, Austin Riley, Sean Murphy, Michael Harris II, Marcell Ozuna, Braden Shewmake, Kevin Pillar, Yolmer Sanchez,ATL
2023-03-18, Ozzie Albies, Matt Olson, Austin Riley, Travis d'Arnaud, Michael Harris II, Vaughn Grissom, Sam Hilliard, Kevin Pillar, Orlando Arcia,ATL
2023-03-19, Ozzie Albies, Braden Shewmake, Sean Murphy, Marcell Ozuna, Sam Hilliard, Jordan Luplow, Ehire Adrianza, Joshua Fuentes, Yolmer Sanchez,ATL
2023-03-20, Ozzie Albies, Matt Olson, Austin Riley, Travis d'Arnaud, Michael Harris II, Marcell Ozuna, Eddie Rosario, Kevin Pillar, Vaughn Grissom,ATL
2023-03-22, Orlando Arcia, Forrest Wall, Ehire Adrianza, Sam Hilliard, Ryan Casteel, Mitchell Tolman, Joshua Fuentes, Magneuris Sierra, Joe Hudson,ATL
2023-03-23, Ronald Acuna Jr., Matt Olson, Austin Riley, Marcell Ozuna, Michael Harris II, Ozzie Albies, Travis d'Arnaud, Eddie Rosario, Orlando Arcia,ATL
2023-03-24, Ronald Acuna Jr., Matt Olson, Austin Riley, Marcell Ozuna, Sam Hilliard, Ozzie Albies, Sean Murphy, Nacho Alvarez Jr., Orlando Arcia,ATL
2023-03-25a, Ronald Acuna Jr., Matt Olson, Austin Riley, Sean Murphy, Michael Harris II, Ozzie Albies, Forrest Wall, Orlando Arcia, Hoy Park,ATL
2023-03-25b, Kevin Pillar, Ehire Adrianza, Travis d'Arnaud, Marcell Ozuna, Sam Hilliard, Nacho Alvarez Jr., Cade Bunnell, Joshua Fuentes, Yolmer Sanchez,ATL
2023-03-26, Ronald Acuna Jr., Matt Olson, Austin Riley, Marcell Ozuna, Michael Harris II, Ozzie Albies, Travis d'Arnaud, Eddie Rosario, Ehire Adrianza,ATL
2023-03-27, Ronald Acuna Jr., Matt Olson, Austin Riley, Sean Murphy, Michael Harris II, Ozzie Albies, Eddie Rosario, Sam Hilliard, Orlando Arcia,ATL
2023-03-28, Ronald Acuna Jr., Matt Olson, Austin Riley, Marcell Ozuna, Michael Harris II, Ozzie Albies, Travis d'Arnaud, Eddie Rosario, Orlando Arcia,ATL
2023-02-25, Garrett Mitchell, Willy Adames, Rowdy Tellez, William Contreras, Luke Voit, Sal Frelick, Mike Brosseau, Abraham Toro, Abraham Toro,MIL
2023-02-26a, Luis Urias, Brian Anderson, Victor Caratini, Luke Voit, Rowdy Tellez, Tyler Naquin, Abraham Toro, Skye Bolt, Monte Harrison,MIL
2023-02-26b, Owen Miller, Keston Hiura, Josh VanMeter, Jon Singleton, Joey Wiemer, Sal Frelick, Payton Henry, Brice Turang, Blake Perkins,MIL
