player,threeyearG,threeyearPA,battingpos2023,2023modelPAs162
 J.T. Realmuto,133.0,542.0,5.43,662.0
 Darick Hall,42.0,142.0,6.92,635.0
 Nick Castellanos,145.0,599.0,3.9,690.0
 Bryson Stott,127.0,466.0,4.3,683.0
 Alec Bohm,129.0,511.0,5.23,666.0
 Jake Cave,81.0,229.0,8.14,613.0
 Brandon Marsh,102.0,360.0,7.27,629.0
 Josh Harrison,115.0,410.0,7.38,627.0
 Edmundo Sosa,96.0,258.0,7.88,618.0
 Cristian Pache,39.0,113.0,8.67,604.0
 Garrett Stubbs,35.0,62.0,8.62,605.0
 Kody Clemens,57.0,127.0,7.95,617.0
 Bryce Harper,132.0,561.0,3.32,700.0
 Dalton Guthrie,14.0,28.0,9.0,598.0
 Drew Ellis,18.0,50.0,7.71,621.0
 Johan Rojas,0.0,0.0,8.82,601.0
 Rodolfo Castro,51.0,186.0,6.61,641.0
 Weston Wilson,0.0,0.0,7.0,634.0
 Ke'Bryan Hayes,99.0,404.0,3.21,702.0
 Bryan Reynolds,151.0,607.0,2.0,724.0
 Andrew McCutchen,144.0,602.0,2.48,715.0
 Connor Joe,87.0,339.0,3.84,691.0
 Oneil Cruz,44.0,185.0,1.62,731.0
 Ji Hwan Bae,10.0,37.0,5.78,656.0
 Austin Hedges,96.0,291.0,8.97,599.0
 Canaan Smith-Njigba,3.0,7.0,6.25,648.0
 Jack Suwinski,106.0,372.0,4.61,677.0
 Jason Delay,57.0,167.0,8.92,599.0
 Tucupita Marcano,37.0,114.0,5.45,662.0
 Drew Maggi,0.0,0.0,8.0,616.0
 Miguel Andujar,46.0,159.0,5.45,662.0
 Chris Owings,31.0,79.0,8.0,616.0
 Josh Palacios,21.0,46.0,4.76,674.0
 Henry Davis,0.0,0.0,4.88,672.0
 Cal Mitchell,0.0,0.0,7.0,634.0
 Nick Gonzales,0.0,0.0,7.28,629.0
 Jared Triolo,0.0,0.0,6.43,644.0
 Endy Rodriguez,0.0,0.0,6.06,651.0
 Liover Peguero,1.0,4.0,7.23,630.0
 Alika Williams,0.0,0.0,8.62,605.0
 Vinny Capra,8.0,7.0,7.2,630.0
 Joshua Palacios,0.0,0.0,5.38,663.0
 Marcus Semien,155.0,695.0,1.05,741.0
 Corey Seager,129.0,566.0,2.0,724.0
 Nathaniel Lowe,124.0,497.0,3.24,702.0
 Adolis Garcia,104.0,433.0,4.06,687.0
 Josh Jung,26.0,102.0,4.81,673.0
 Robbie Grossman,141.0,555.0,5.56,660.0
 Mitch Garver,61.0,226.0,5.87,654.0
 Brad Miller,117.0,360.0,7.6,623.0
 Josh H. Smith,0.0,0.0,7.72,621.0
 Jonah Heim,81.0,282.0,6.11,650.0
 Ezequiel Duran,58.0,220.0,7.21,630.0
 Travis Jankowski,54.0,89.0,5.67,658.0
 Bubba Thompson,55.0,181.0,8.79,602.0
 Leody Taveras,79.0,296.0,8.49,607.0
 Sandy Leon,62.0,175.0,8.91,600.0
 Sam Huff,44.0,132.0,7.8,620.0
 J.P. Martinez,0.0,0.0,6.44,644.0
 Evan Carter,0.0,0.0,9.0,598.0
 Jonathan Ornelas,0.0,0.0,8.5,607.0
 Yandy Diaz,121.0,491.0,1.06,741.0
 Brandon Lowe,122.0,495.0,3.1,704.0
 Randy Arozarena,119.0,485.0,3.31,700.0
 Wander Franco,76.0,326.0,2.19,721.0
 Luke Raley,28.0,72.0,5.2,666.0
