player,team,b1,b2,b3,b4,b5,b6,b7,b8,b9
Ehire Adrianza,ATL,0.0,1.0,0.0,0.0,0.0,1.0,4.0,9.0,11.0
Robbie Grossman,ATL,41.0,5.0,11.0,0.0,3.0,14.0,7.0,5.0,31.0
Vaughn Grissom,ATL,0.0,1.0,0.0,0.0,0.0,8.0,18.0,8.0,4.0
Chadwick Tromp,ATL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Andrew McCutchen,MIL,24.0,2.0,18.0,60.0,11.0,15.0,0.0,0.0,0.0
Willy Adames,MIL,0.0,135.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Christian Yelich,MIL,88.0,2.0,56.0,2.0,0.0,0.0,0.0,0.0,0.0
Hunter Renfroe,MIL,0.0,1.0,8.0,55.0,23.0,28.0,9.0,1.0,0.0
Keston Hiura,MIL,0.0,0.0,0.0,2.0,16.0,25.0,14.0,8.0,2.0
Tyrone Taylor,MIL,0.0,3.0,2.0,4.0,8.0,12.0,11.0,16.0,45.0
Kolten Wong,MIL,40.0,0.0,1.0,1.0,43.0,10.0,9.0,7.0,2.0
Mike Brosseau,MIL,5.0,0.0,2.0,7.0,10.0,3.0,3.0,11.0,3.0
Victor Caratini,MIL,0.0,0.0,0.0,0.0,1.0,4.0,15.0,36.0,19.0
Rowdy Tellez,MIL,0.0,0.0,72.0,14.0,34.0,11.0,4.0,0.0,0.0
Omar Narvaez,MIL,0.0,0.0,0.0,0.0,2.0,15.0,31.0,30.0,2.0
Lorenzo Cain,MIL,0.0,0.0,0.0,0.0,0.0,6.0,5.0,23.0,6.0
Jace Peterson,MIL,0.0,0.0,0.0,0.0,1.0,7.0,26.0,19.0,28.0
Alex Jackson,MIL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Luis Urias,MIL,4.0,18.0,0.0,16.0,12.0,22.0,33.0,3.0,1.0
Mark Mathias,MIL,0.0,1.0,0.0,0.0,7.0,1.0,7.0,2.0,3.0
Pablo Reyes,MIL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
