player,avg,ngames,teamgames,team,Name,PA,AVG,eAVG,HR,eHR,R,eR,RBI,eRBI,SB,eSB,Rank,Unnamed: 13,PA_forecast,PAdiff
Paul DeJong,4.22,9,15,WSH,Paul DeJong ,249,0.21,0.032,10,5,26,8,27,8,2,2,262,,684.0,435.0
Ryan Mountcastle,4.29,7,15,BAL,Ryan Mountcastle ,517,0.266,0.035,17,9,60,17,69,18,3,5,100,,683.0,166.0
Dane Myers,4.29,7,15,MIA,Dane Myers ,288,0.268,0.05,4,3,22,8,24,8,4,3,296,,683.0,395.0
Garrett Mitchell,4.29,7,16,MIL,Garrett Mitchell ,452,0.254,0.05,7,5,32,12,20,9,12,7,233,,683.0,231.0
Pavin Smith,4.29,7,18,AZ,Pavin Smith ,317,0.24,0.036,14,6,43,11,53,13,2,3,185,,683.0,366.0
Josh Smith,4.3,10,17,TEX,Josh Smith ,363,0.229,0.034,7,5,38,11,29,10,4,4,218,,683.0,320.0
Keibert Ruiz,4.33,6,15,WSH,Keibert Ruiz ,470,0.243,0.034,11,7,41,13,49,15,2,4,175,,682.0,212.0
Rhys Hoskins,4.33,6,16,MIL,Rhys Hoskins ,533,0.222,0.041,18,9,44,15,54,17,2,5,166,,682.0,149.0
Luke Raley,4.33,6,18,SEA,Luke Raley ,446,0.245,0.04,16,8,46,14,45,14,8,6,146,,682.0,236.0
Javier Baez,4.33,6,15,DET,Javier Baez ,296,0.21,0.03,7,4,29,9,35,10,6,4,229,,682.0,386.0
Jacob Wilson,4.38,8,17,ATH,Jacob Wilson ,488,0.245,0.048,0,4,25,11,9,8,0,4,357,,681.0,193.0
Evan Carter,4.38,8,17,TEX,Evan Carter ,462,0.191,0.044,7,5,31,12,22,10,2,4,270,,681.0,219.0
Mickey Moniak,4.38,8,17,LAA,Mickey Moniak ,321,0.234,0.034,10,5,33,10,35,10,4,3,208,,681.0,360.0
Tyler Stephenson,4.43,7,15,CIN,Tyler Stephenson ,468,0.262,0.035,14,8,59,16,59,16,1,4,147,,680.0,212.0
Josh Rojas,4.43,7,15,CWS,Josh Rojas ,361,0.24,0.032,5,4,41,12,31,10,9,5,206,,680.0,319.0
Kerry Carpenter,4.5,8,15,DET,Kerry Carpenter ,475,0.272,0.038,23,10,56,16,69,18,2,4,108,,679.0,204.0
Nick Gonzales,4.5,8,16,PIT,Nick Gonzales ,475,0.247,0.036,7,5,39,13,44,14,3,4,202,,679.0,204.0
Mitch Garver,4.5,6,18,SEA,Mitch Garver ,319,0.214,0.034,14,6,34,10,41,11,0,3,227,,679.0,360.0
Edouard Julien,4.5,8,15,MIN,Edouard Julien ,343,0.223,0.037,8,5,34,10,21,8,4,3,249,,679.0,336.0
Enrique Hernandez,4.56,9,18,LAD,Enrique Hernandez ,272,0.233,0.033,7,4,30,9,30,9,1,2,268,,678.0,406.0
Adolis Garcia,4.57,7,17,TEX,Adolis Garcia ,599,0.238,0.035,28,13,79,21,89,23,11,8,23,,678.0,79.0
Randal Grichuk,4.57,7,18,AZ,Randal Grichuk ,259,0.276,0.038,9,5,34,9,35,9,1,3,241,,678.0,419.0
Bryan De La Cruz,4.62,8,15,ATL,Bryan De La Cruz ,180,0.249,0.034,5,3,17,5,20,6,1,1,333,,677.0,497.0
Oliver Dunn,4.67,9,16,MIL,Oliver Dunn ,238,0.222,0.045,1,2,12,5,8,4,3,2,361,,676.0,438.0
Freddy Fermin,4.67,6,17,KC,Freddy Fermin ,282,0.273,0.038,5,3,24,8,25,8,1,2,302,,676.0,394.0
Ke'Bryan Hayes,4.71,7,16,PIT,Ke'Bryan Hayes ,539,0.246,0.032,8,6,56,17,45,15,12,8,137,,675.0,136.0
Tyrone Taylor,4.71,7,16,NYM,Tyrone Taylor ,286,0.244,0.033,8,5,38,10,34,9,7,4,198,,675.0,389.0
Jake Cronenworth,4.78,9,16,SD,Jake Cronenworth ,587,0.238,0.033,14,9,65,19,67,19,5,5,102,,674.0,87.0
Heston Kjerstad,4.78,9,15,BAL,Heston Kjerstad ,366,0.248,0.049,6,4,14,7,21,8,1,3,331,,674.0,308.0
Dansby Swanson,4.8,10,17,CHC,Dansby Swanson ,631,0.25,0.035,20,11,84,23,76,21,14,9,25,,674.0,43.0
Nolan Schanuel,4.8,10,17,LAA,Nolan Schanuel ,549,0.249,0.038,7,6,50,16,32,13,4,5,194,,674.0,125.0
Spencer Torkelson,4.86,7,15,DET,Spencer Torkelson ,238,0.223,0.034,7,4,25,7,23,7,0,2,306,,673.0,435.0
Luis Matos,4.86,7,16,SF,Luis Matos ,214,0.23,0.035,3,2,15,5,20,6,0,2,345,,673.0,459.0
Royce Lewis,4.86,7,15,MIN,Royce Lewis ,514,0.26,0.041,21,10,54,16,68,18,4,5,109,,673.0,159.0
