,#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,Year
640,639,Clayton Kershaw,LAD,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
641,640,Adam Wainwright,STL,23,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000,2023
642,641,Corey Kluber,BOS,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
643,642,Lance Lynn,- - -,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
644,643,Zach McAllister,NYY,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
645,644,Kenley Jansen,BOS,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
646,645,Max Scherzer,- - -,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
647,646,T.J. McFarland,NYM,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
648,647,Liam Hendriks,CHW,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
649,648,Charlie Morton,ATL,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
650,649,Rich Hill,- - -,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
651,650,Fernando Abad,COL,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
652,651,Jake Diekman,- - -,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
653,652,Jeurys Familia,OAK,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
654,653,Jesse Chavez,ATL,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
655,654,Madison Bumgarner,ARI,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
656,655,Ryan Brasier,- - -,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
657,656,Huascar Brazoban,MIA,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
658,657,Trevor May,OAK,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
659,658,Jose Cisnero,DET,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
660,659,Alex Cobb,SFG,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
661,660,Carlos Carrasco,NYM,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
662,661,Craig Kimbrel,PHI,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
663,662,Alex Colome,CHW,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
664,663,Julio Teheran,MIL,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
665,664,Johnny Cueto,MIA,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
666,665,Chase Anderson,- - -,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
667,666,Martin Perez,TEX,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
668,667,Luis Garcia,SDP,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
669,668,Ian Kennedy,TEX,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
670,669,Ryan Pressly,HOU,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
671,670,Fernando Cruz,CIN,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
672,671,Daniel Bard,COL,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
673,672,Daniel Hudson,LAD,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
674,673,Jay Jackson,TOR,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
675,674,Collin McHugh,ATL,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
676,675,Jordan Lyles,KCR,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
677,676,Tommy Milone,SEA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
678,677,Richard Bleier,BOS,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
679,678,Anthony Bass,TOR,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
680,679,Will Smith,TEX,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
681,680,Bryan Shaw,CHW,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
682,681,David Robertson,- - -,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
683,682,Paolo Espino,WSN,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
684,683,Lucas Luetge,ATL,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
685,684,Ehire Adrianza,ATL,5,10,11,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,.000,2023
686,685,Justin Verlander,- - -,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
687,686,Wade Miley,MIL,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
688,687,Kirby Yates,ATL,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
689,688,Brad Hand,- - -,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
