,#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,Year
955,954,Jeff Hoffman,PHI,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
956,955,Jonathan Hernandez,TEX,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
957,956,Jack Flaherty,- - -,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
958,957,Daniel Duarte,CIN,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
959,958,Albert Abreu,NYY,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
960,959,Spenser Watkins,OAK,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
961,960,Genesis Cabrera,- - -,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
962,961,Diego Castillo,SEA,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
963,962,Jimmy Herget,LAA,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
964,963,Tanner Scott,MIA,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
965,964,Mitch Keller,PIT,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
966,965,Cristian Javier,HOU,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
967,966,Tanner Rainey,WSN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
968,967,Taylor Clarke,KCR,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
969,968,Justin Lawrence,COL,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
970,969,Jeffrey Springs,TBR,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
971,970,Jose Cuas,- - -,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
972,971,Trevor Megill,MIL,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
973,972,Nabil Crismatt,- - -,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
974,973,Evan Phillips,LAD,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
975,974,Tyler Alexander,DET,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
976,975,Drew Smith,NYM,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
977,976,Angel Perdomo,PIT,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
978,977,Jose Alvarado,PHI,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
979,978,Trey Wingenter,DET,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
980,979,Adbert Alzolay,CHC,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
981,980,Jose Rodriguez,SEA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
982,981,Ian Gibaut,CIN,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
983,982,Nestor Cortes,NYY,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
984,983,Brett Kennedy,CIN,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
985,984,Dennis Santana,NYM,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
986,985,Tayler Saucedo,SEA,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
987,986,Garrett Cleavinger,TBR,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
988,987,Trent Thornton,- - -,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
989,988,Tyler Gilbert,ARI,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
990,989,Brock Burke,TEX,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
991,990,Peter Lambert,COL,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
992,991,Logan Webb,SFG,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
993,992,Pete Fairbanks,TBR,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
994,993,Triston McKenzie,CLE,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
995,994,Phil Maton,HOU,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
996,995,Ryan Helsley,STL,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
997,996,Anthony Misiewicz,- - -,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
998,997,James Naile,STL,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
999,998,Tyler Kinley,COL,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
1000,999,Andrew Suarez,STL,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
1001,1000,Carson Fulmer,LAA,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
