player,PAprediction,threeyearavgPA,PA23,lineup23,PA23lineup,PA24lineup,threeyearavgG,G23,G22,G21
Tim Anderson,292,500.0,351.0,1.25,738.0,598.0,111.0,79.0,123.0,132.0
Luis Robert,362,437.0,401.0,nan,nan,598.0,106.0,98.0,68.0,151.0
Andrew Benintendi,577,400.0,521.0,2.05,723.0,742,99.0,126.0,134.0,38.0
Eloy Jimenez,366,389.0,327.0,3.87,690.0,706,96.0,84.0,55.0,148.0
Yoan Moncada,442,558.0,433.0,4.36,682.0,688,129.0,104.0,144.0,140.0
Gavin Sheets,499,294.0,410.0,5.98,652.0,652,89.0,124.0,54.0,0.0
Yasmani Grandal,365,425.0,376.0,6.14,649.0,598.0,105.0,99.0,93.0,124.0
Oscar Colas,0,0.0,0.0,7.68,622.0,580,0.0,0.0,0.0,0.0
Elvis Andrus,550,473.0,577.0,7.11,632.0,598.0,124.0,149.0,146.0,78.0
Andrew Vaughn,599,512.0,555.0,4.4,681.0,724,130.0,134.0,127.0,0.0
Hanser Alberto,269,346.0,159.0,7.1,632.0,598.0,107.0,73.0,103.0,146.0
Romy Gonzalez,118,71.0,109.0,8.42,608.0,598.0,21.0,32.0,10.0,0.0
Lenyn Sosa,41,36.0,36.0,8.09,614.0,598.0,11.0,11.0,0.0,0.0
Adam Haseley,52,98.0,25.0,7.29,629.0,598.0,44.0,14.0,9.0,108.0
Clint Frazier,0,325.0,0.0,6.59,641.0,598.0,86.0,0.0,66.0,105.0
Zach Remillard,0,0.0,0.0,7.31,628.0,598.0,0.0,0.0,0.0,0.0
Korey Lee,44,26.0,26.0,9.0,598.0,598.0,12.0,12.0,0.0,0.0
Tyler Naquin,388,390.0,334.0,7.5,625.0,598.0,113.0,105.0,127.0,108.0
DJ LeMahieu,573,601.0,541.0,3.23,702.0,742,137.0,125.0,150.0,135.0
Aaron Judge,702,546.0,696.0,2.01,724.0,724,127.0,157.0,148.0,76.0
Anthony Rizzo,552,593.0,548.0,3.07,705.0,688,143.0,130.0,141.0,157.0
Giancarlo Stanton,443,428.0,452.0,3.7,693.0,652,104.0,110.0,139.0,62.0
Gleyber Torres,579,507.0,572.0,2.66,712.0,670,127.0,140.0,127.0,113.0
Oswaldo Cabrera,158,171.0,171.0,7.52,625.0,580,44.0,44.0,0.0,0.0
Jose Trevino,425,293.0,353.0,8.12,614.0,598.0,90.0,115.0,89.0,65.0
Anthony Volpe,0,0.0,0.0,6.01,652.0,616,0.0,0.0,0.0,0.0
Isiah Kiner-Falefa,508,608.0,531.0,6.14,649.0,580,152.0,142.0,158.0,157.0
Kyle Higashioka,306,196.0,248.0,8.27,611.0,598.0,64.0,83.0,67.0,43.0
Franchy Cordero,310,175.0,275.0,6.74,639.0,598.0,58.0,84.0,48.0,43.0
Willie Calhoun,81,213.0,62.0,4.75,674.0,598.0,58.0,22.0,75.0,78.0
Oswald Peraza,62,57.0,57.0,6.83,637.0,562,18.0,18.0,0.0,0.0
Jake Bauers,0,315.0,0.0,3.9,690.0,670,115.0,0.0,115.0,0.0
Ben Rortvedt,0,98.0,0.0,8.92,599.0,598.0,39.0,0.0,39.0,0.0
Greg Allen,170,89.0,134.0,8.33,610.0,598.0,35.0,46.0,15.0,43.0
Billy McKinney,85,122.0,57.0,6.29,647.0,598.0,48.0,23.0,116.0,5.0
Everson Pereira,0,0.0,0.0,7.42,626.0,598.0,0.0,0.0,0.0,0.0
Jasson Dominguez,0,0.0,0.0,3.25,702.0,598.0,0.0,0.0,0.0,0.0
Austin Wells,0,0.0,0.0,4.67,676.0,598,0.0,0.0,0.0,0.0
Estevan Florial,63,23.0,35.0,6.17,649.0,598.0,10.0,17.0,11.0,3.0
