player,PAprediction,threeyearavgPA,PA23,lineup23,PA23lineup,PA24lineup,threeyearavgG,G23,G22,G21
Michael Harris II,459,441.0,441.0,7.71,621.0,652,114.0,114.0,0.0,0.0
Travis d'Arnaud,383,384.0,426.0,5.44,662.0,580,95.0,107.0,60.0,119.0
Eddie Rosario,295,435.0,270.0,6.15,649.0,598.0,115.0,80.0,111.0,154.0
Marcell Ozuna,513,479.0,507.0,5.89,654.0,670,111.0,124.0,48.0,162.0
Orlando Arcia,251,278.0,234.0,7.96,617.0,598,88.0,68.0,36.0,159.0
Sean Murphy,579,479.0,612.0,5.0,670.0,634,128.0,148.0,119.0,116.0
Kevin Pillar,15,321.0,13.0,7.83,619.0,598.0,91.0,4.0,124.0,146.0
Sam Hilliard,243,249.0,200.0,8.42,608.0,562,83.0,70.0,81.0,97.0
Eli White,173,159.0,117.0,9.0,598.0,598.0,54.0,47.0,64.0,51.0
Vaughn Grissom,156,156.0,156.0,7.0,634.0,616,41.0,41.0,0.0,0.0
Chadwick Tromp,4,65.0,4.0,9.0,598.0,598.0,25.0,1.0,9.0,65.0
Ehire Adrianza,137,197.0,110.0,8.5,607.0,598.0,88.0,37.0,109.0,119.0
Braden Shewmake,0,0.0,0.0,9.0,598.0,598.0,0.0,0.0,0.0,0.0
Nicky Lopez,540,521.0,480.0,8.43,608.0,616,148.0,142.0,151.0,151.0
Luke Williams,292,122.0,136.0,8.25,612.0,598.0,68.0,79.0,58.0,0.0
Forrest Wall,0,0.0,0.0,9.0,598.0,598.0,0.0,0.0,0.0,0.0
Mike Brosseau,258,198.0,160.0,5.05,669.0,598.0,76.0,70.0,57.0,100.0
Willy Adames,590,575.0,617.0,3.54,696.0,688,142.0,139.0,140.0,146.0
Christian Yelich,705,604.0,671.0,1.33,736.0,742,143.0,154.0,117.0,157.0
William Contreras,434,196.0,376.0,2.67,712.0,724,53.0,97.0,52.0,11.0
Luke Voit,498,480.0,568.0,5.94,653.0,598.0,118.0,135.0,68.0,151.0
Rowdy Tellez,582,422.0,599.0,4.26,683.0,616,118.0,153.0,106.0,94.0
Brian Anderson,362,422.0,383.0,5.92,653.0,598.0,108.0,98.0,67.0,159.0
Owen Miller,451,337.0,472.0,4.61,677.0,562,95.0,130.0,60.0,0.0
Joey Wiemer,0,0.0,0.0,8.52,607.0,580,0.0,0.0,0.0,0.0
Jesse Winker,502,509.0,547.0,2.91,708.0,598.0,131.0,136.0,110.0,146.0
Garrett Mitchell,113,68.0,68.0,6.12,650.0,652,28.0,28.0,0.0,0.0
Victor Caratini,354,342.0,314.0,6.91,636.0,598.0,110.0,96.0,116.0,119.0
Brice Turang,0,0.0,0.0,7.71,621.0,616,0.0,0.0,0.0,0.0
Blake Perkins,0,0.0,0.0,7.71,621.0,598.0,0.0,0.0,0.0,0.0
Tyrone Taylor,443,262.0,405.0,7.71,621.0,598.0,91.0,120.0,93.0,59.0
Darin Ruf,439,323.0,388.0,3.53,696.0,598.0,115.0,119.0,117.0,108.0
Andruw Monasterio,0,0.0,0.0,6.63,641.0,598,0.0,0.0,0.0,0.0
Abraham Toro,402,330.0,352.0,6.2,648.0,598,98.0,109.0,95.0,89.0
Luis Urias,452,455.0,472.0,7.8,620.0,616,127.0,119.0,150.0,111.0
Raimel Tapia,472,507.0,433.0,5.51,661.0,598.0,133.0,128.0,133.0,138.0
Jahmai Jones,0,45.0,0.0,6.75,638.0,598.0,17.0,0.0,26.0,8.0
Sal Frelick,0,0.0,0.0,4.12,686.0,706,0.0,0.0,0.0,0.0
Carlos Santana,484,618.0,506.0,3.61,695.0,598.0,150.0,131.0,158.0,162.0
Mark Canha,579,608.0,542.0,5.87,654.0,670,147.0,140.0,141.0,159.0
Josh Donaldson,487,455.0,546.0,5.23,666.0,598.0,114.0,132.0,135.0,76.0
Brendan Donovan,507,468.0,468.0,3.25,702.0,652,126.0,126.0,0.0,0.0
Alec Burleson,59,53.0,53.0,4.9,672.0,598.0,16.0,16.0,0.0,0.0
Paul Goldschmidt,658,651.0,651.0,2.22,720.0,706,155.0,151.0,158.0,157.0
Nolan Arenado,612,605.0,620.0,3.79,692.0,670,145.0,148.0,157.0,130.0
Nolan Gorman,338,313.0,313.0,4.41,681.0,616,89.0,89.0,0.0,0.0
Tyler O'Neill,376,448.0,383.0,5.43,662.0,634,123.0,96.0,138.0,135.0
Jordan Walker,0,0.0,0.0,6.39,645.0,688,0.0,0.0,0.0,0.0
Andrew Knizner,358,175.0,293.0,7.97,617.0,598.0,61.0,97.0,63.0,22.0
Tommy Edman,684,645.0,630.0,5.62,659.0,724,154.0,153.0,159.0,148.0
Willson Contreras,442,526.0,487.0,4.6,677.0,634,132.0,113.0,128.0,154.0
Dylan Carlson,458,476.0,488.0,6.73,639.0,580,124.0,128.0,149.0,94.0
Juan Yepez,281,274.0,274.0,6.07,651.0,598.0,76.0,76.0,0.0,0.0
Taylor Motter,7,18.0,6.0,8.1,614.0,598.0,9.0,2.0,16.0,0.0
Lars Nootbaar,495,236.0,347.0,2.61,713.0,742,83.0,108.0,58.0,0.0
Oscar Mercado,203,206.0,128.0,8.86,601.0,598.0,75.0,55.0,72.0,97.0
Luken Baker,0,0.0,0.0,5.87,654.0,598.0,0.0,0.0,0.0,0.0
Ivan Herrera,41,22.0,22.0,6.8,638.0,598.0,11.0,11.0,0.0,0.0
Jose Fermin,0,0.0,0.0,8.19,613.0,598.0,0.0,0.0,0.0,0.0
Masyn Winn,0,0.0,0.0,9.0,598.0,598,0.0,0.0,0.0,0.0
Richie Palacios,217,123.0,123.0,6.12,650.0,652,54.0,54.0,0.0,0.0
Juniel Querecuto,0,0.0,0.0,8.0,616.0,598.0,0.0,0.0,0.0,0.0
Irving Lopez,0,0.0,0.0,8.0,616.0,598.0,0.0,0.0,0.0,0.0
Nico Hoerner,603,342.0,517.0,1.51,733.0,724,103.0,135.0,44.0,130.0
Dansby Swanson,688,687.0,696.0,3.68,694.0,688,161.0,162.0,160.0,162.0
Ian Happ,689,600.0,641.0,3.24,702.0,706,153.0,158.0,148.0,154.0
Cody Bellinger,532,519.0,550.0,4.48,679.0,598.0,130.0,144.0,95.0,151.0
Trey Mancini,528,602.0,587.0,6.11,650.0,598.0,145.0,143.0,147.0,0.0
Edwin Rios,100,125.0,92.0,6.78,638.0,598.0,46.0,27.0,25.0,86.0
Eric Hosmer,384,468.0,419.0,6.77,638.0,598.0,119.0,104.0,151.0,103.0
Nick Madrigal,218,246.0,228.0,7.88,618.0,598,64.0,59.0,54.0,78.0
Tucker Barnhart,326,331.0,308.0,9.0,598.0,562,104.0,94.0,116.0,103.0
Yan Gomes,346,330.0,293.0,7.32,628.0,652,90.0,86.0,103.0,81.0
Patrick Wisdom,480,305.0,534.0,7.08,633.0,580,82.0,134.0,106.0,5.0
Luis Torrens,210,252.0,166.0,8.0,616.0,598.0,78.0,57.0,108.0,68.0
Miles Mastrobuoni,30,17.0,17.0,7.91,618.0,598.0,8.0,8.0,0.0,0.0
Nelson Velazquez,293,206.0,206.0,5.81,655.0,616,77.0,77.0,0.0,0.0
Seiya Suzuki,459,446.0,446.0,4.56,678.0,670,111.0,111.0,0.0,0.0
Miguel Amaya,0,0.0,0.0,8.32,610.0,598.0,0.0,0.0,0.0,0.0
Matt Mervis,0,0.0,0.0,7.15,631.0,634,0.0,0.0,0.0,0.0
Christopher Morel,518,425.0,425.0,5.39,663.0,742,113.0,113.0,0.0,0.0
Mike Tauchman,0,245.0,0.0,2.29,719.0,616,96.0,0.0,75.0,116.0
Jared Young,22,22.0,22.0,7.08,633.0,598.0,6.0,6.0,0.0,0.0
Jeimer Candelario,458,550.0,467.0,4.37,681.0,598.0,138.0,124.0,149.0,140.0
Pete Crow-Armstrong,0,0.0,0.0,4.5,679.0,598.0,0.0,0.0,0.0,0.0
Alexander Canario,0,0.0,0.0,7.75,620.0,562,0.0,0.0,0.0,0.0
Josh Rojas,461,416.0,510.0,5.52,661.0,598,103.0,125.0,139.0,46.0
Ketel Marte,612,486.0,558.0,1.69,730.0,724,116.0,137.0,90.0,122.0
Lourdes Gurriel Jr.,474,546.0,493.0,4.52,679.0,634,139.0,121.0,141.0,154.0
Christian Walker,680,589.0,667.0,4.01,688.0,688,143.0,160.0,115.0,154.0
Corbin Carroll,147,115.0,115.0,2.97,707.0,742,32.0,32.0,0.0,0.0
Gabriel Moreno,109,73.0,73.0,7.3,629.0,706,25.0,25.0,0.0,0.0
Jake McCarthy,354,212.0,354.0,7.12,632.0,580,62.0,99.0,24.0,0.0
Alek Thomas,455,411.0,411.0,7.31,628.0,652,113.0,113.0,0.0,0.0
Geraldo Perdomo,546,268.0,500.0,6.12,650.0,598,80.0,148.0,11.0,0.0
Kyle Lewis,66,287.0,62.0,2.8,710.0,598.0,70.0,18.0,36.0,157.0
Evan Longoria,329,384.0,298.0,5.27,665.0,598.0,104.0,89.0,81.0,143.0
Nick Ahmed,63,371.0,54.0,7.55,624.0,598.0,100.0,17.0,129.0,154.0
Jose Herrera,173,124.0,124.0,8.78,602.0,598.0,47.0,47.0,0.0,0.0
Pavin Smith,277,314.0,277.0,4.25,684.0,598.0,84.0,75.0,145.0,32.0
Emmanuel Rivera,377,228.0,359.0,5.12,668.0,598.0,66.0,102.0,29.0,0.0
Dominic Fletcher,0,0.0,0.0,7.21,630.0,598.0,0.0,0.0,0.0,0.0
Carson Kelly,384,354.0,354.0,8.17,613.0,598.0,102.0,104.0,98.0,105.0
Dominic Canzone,0,0.0,0.0,6.12,650.0,598.0,0.0,0.0,0.0,0.0
Tommy Pham,532,507.0,622.0,4.17,685.0,598.0,128.0,144.0,155.0,84.0
Buddy Kennedy,111,94.0,94.0,4.14,685.0,598.0,30.0,30.0,0.0,0.0
Jordan Lawlar,0,0.0,0.0,5.89,654.0,598.0,0.0,0.0,0.0,0.0
Seby Zavala,225,154.0,205.0,8.55,606.0,598.0,49.0,61.0,37.0,0.0
Mookie Betts,650,618.0,639.0,1.0,742.0,742,138.0,142.0,122.0,148.0
Freddie Freeman,711,703.0,708.0,2.0,724.0,724,160.0,159.0,159.0,162.0
Will Smith,567,483.0,578.0,3.02,706.0,670,122.0,137.0,130.0,100.0
Max Muncy,593,609.0,565.0,4.17,685.0,706,146.0,136.0,144.0,157.0
J.D. Martinez,513,623.0,596.0,4.28,683.0,598.0,144.0,139.0,148.0,146.0
David Peralta,495,539.0,490.0,5.69,658.0,598.0,143.0,134.0,150.0,146.0
Miguel Vargas,66,50.0,50.0,6.45,644.0,598.0,18.0,18.0,0.0,0.0
James Outman,16,16.0,16.0,6.92,635.0,634,4.0,4.0,0.0,0.0
Miguel Rojas,517,477.0,507.0,8.45,608.0,598.0,127.0,140.0,132.0,108.0
Chris Taylor,409,538.0,454.0,6.39,645.0,562,139.0,118.0,148.0,151.0
Trayce Thompson,295,145.0,255.0,7.2,630.0,598.0,48.0,80.0,15.0,0.0
Austin Barnes,222,239.0,212.0,9.0,598.0,580,72.0,62.0,77.0,78.0
Jason Heyward,193,331.0,151.0,6.0,652.0,652,96.0,48.0,104.0,135.0
Austin Wynns,244,158.0,177.0,8.64,604.0,598.0,56.0,66.0,45.0,0.0
Michael Busch,0,0.0,0.0,8.06,615.0,598.0,0.0,0.0,0.0,0.0
Jonny Deluca,0,0.0,0.0,7.4,627.0,598.0,0.0,0.0,0.0,0.0
