plr,ngames
Christian Encarnacion-Str,43
Jeimer Candelario,141
Santiago Espinal,86
Elly De La Cruz,159
Stuart Fairchild,73
Luke Maile,54
Will Benson,125
Jake Fraley,91
Nick Martini,67
Tyler Stephenson,113
Bubba Thompson,6
TJ Friedl,43
Mike Ford,22
Conner Capel,3
Jacob Hurtubise,29
Blake Dunn,6
Levi Jordan,2
Livan Soto,0
Noelvi Marte,35
Austin Wynns,6
Edwin Rios,2
Rece Hinds,14
Charlie Blackmon,109
Kris Bryant,39
Nolan Jones,70
Brendan Rodgers,126
Ryan McMahon,153
Elias Diaz,107
Ezequiel Tovar,156
Elehuris Montero,90
Brenton Doyle,153
Michael Toglia,87
Jake Cave,79
Jacob Stallings,69
Alan Trejo,26
Sean Bouchard,45
Hunter Goodman,58
Jordan Beck,31
Adael Amador,14
Greg Jones,0
Sam Hilliard,17
Aaron Schunk,11
Maikel Garcia,151
Bobby Witt Jr.,161
Vinnie Pasquantino,151
Salvador Perez,156
MJ Melendez,121
Hunter Renfroe,115
Adam Frazier,80
Nick Loftin,61
Kyle Isbel,116
Nelson Velazquez,83
Freddy Fermin,80
Garrett Hampson,57
Dairon Blanco,36
Michael Massey,68
Drew Waters,6
CJ Alexander,3
Parker Meadows,42
Spencer Torkelson,81
Riley Greene,151
Kerry Carpenter,61
Mark Canha,132
Colt Keith,132
Carson Kelly,81
Javier Baez,95
Zach McKinstry,72
Gio Urshela,107
Jake Rogers,87
Matt Vierling,126
Andy Ibanez,44
Wenceel Perez,114
Buddy Kennedy,2
Ryan Vilade,9
Akil Baddoo,26
Justyn-Henry Malloy,55
Ryan Kreidler,19
Bligh Madris,5
Edouard Julien,79
Alex Kirilloff,72
Byron Buxton,109
Carlos Correa,115
Matt Wallner,29
Carlos Santana,140
Ryan Jeffers,109
Willi Castro,152
Christian Vazquez,87
Austin Martin,55
Max Kepler,101
Kyle Farmer,55
Manuel Margot,67
Jose Miranda,107
Trevor Larnach,98
Jair Camargo,2
Royce Lewis,37
Brooks Lee,27
Diego A. Castillo,2
Andrew Benintendi,114
Yoan Moncada,14
Luis Robert Jr.,74
Eloy Jimenez,83
Andrew Vaughn,147
Dominic Fletcher,34
Braden Shewmake,31
Nicky Lopez,119
Martin Maldonado,68
Paul DeJong,139
Korey Lee,103
Gavin Sheets,123
Lenyn Sosa,71
Zach Remillard,15
Danny Mendick,52
Tommy Pham,102
Rafael Ortega,5
Bryan Ramos,19
Corey Julks,42
Zach DeLoach,8
Oscar Colas,11
Duke Ellis,0
Brooks Baldwin,12
Chuckie Robinson,3
Gleyber Torres,151
Juan Soto,156
Aaron Judge,159
Anthony Rizzo,105
Giancarlo Stanton,101
Alex Verdugo,153
Anthony Volpe,160
Austin Wells,88
Oswaldo Cabrera,99
Trent Grisham,61
Jon Berti,20
Jose Trevino,71
Jahmai Jones,14
DJ LeMahieu,60
Ben Rice,39
Carlos Narvaez,0
