,player,team,b1,b2,b3,b4,b5,b6,b7,b8,b9
80,"Barrera, Luis",OAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
81,"Montas, Frankie",OAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
82,"Irvin, Cole",OAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
83,"Kaprielian, James",OAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
84,"Bolt, Skye",OAK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,7.0
85,"Manaea, Sean",OAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
86,"Schwindel, Frank",OAK,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0
87,"Wilson, Jacob",OAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
88,"Marte, Starling",OAK,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,"Gomes, Yan",OAK,0.0,0.0,0.0,8.0,9.0,5.0,3.0,6.0,2.0
90,"Harrison, Josh",OAK,28.0,0.0,0.0,0.0,10.0,3.0,6.0,0.0,0.0
91,"Davis, Khris",OAK,0.0,0.0,0.0,0.0,1.0,1.0,9.0,3.0,0.0
92,"Kozma, Pete",OAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
93,"Semien, Marcus",TOR,88.0,45.0,19.0,0.0,1.0,8.0,0.0,0.0,0.0
94,"Biggio, Cavan",TOR,6.0,7.0,0.0,0.0,10.0,20.0,15.0,11.0,2.0
95,"Bichette, Bo",TOR,10.0,90.0,8.0,51.0,0.0,0.0,0.0,0.0,0.0
96,"Hernández, Teoscar",TOR,0.0,1.0,0.0,77.0,63.0,1.0,0.0,0.0,0.0
97,"Guerrero Jr., Vladimir",TOR,0.0,18.0,135.0,1.0,7.0,0.0,0.0,0.0,0.0
98,"Gurriel Jr., Lourdes",TOR,0.0,0.0,0.0,0.0,8.0,57.0,53.0,18.0,0.0
99,"Tellez, Rowdy",TOR,0.0,0.0,0.0,5.0,3.0,9.0,8.0,9.0,0.0
100,"Grichuk, Randal",TOR,0.0,1.0,0.0,13.0,46.0,20.0,30.0,18.0,5.0
101,"Jansen, Danny",TOR,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,38.0
102,"Panik, Joe",TOR,0.0,0.0,0.0,0.0,0.0,7.0,12.0,11.0,0.0
103,"Kirk, Alejandro",TOR,0.0,0.0,0.0,1.0,3.0,22.0,5.0,9.0,8.0
104,"Davis, Jonathan",TOR,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,8.0
105,"Palacios, Josh",TOR,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,6.0
106,"Espinal, Santiago",TOR,0.0,0.0,0.0,0.0,0.0,2.0,23.0,26.0,11.0
107,"Springer, George",TOR,56.0,0.0,0.0,14.0,8.0,0.0,0.0,0.0,0.0
108,"McGuire, Reese",TOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,53.0
109,"Ray, Robbie",TOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
110,"Ryu, Hyun Jin",TOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
111,"Stripling, Ross",TOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
112,"Adams, Riley",TOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0
113,"Hoying, Jared",TOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
114,"Matz, Steven",TOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
115,"Dickerson, Corey",TOR,2.0,0.0,0.0,0.0,13.0,14.0,6.0,1.0,0.0
116,"Valera, Breyvic",TOR,0.0,0.0,0.0,0.0,0.0,1.0,3.0,11.0,6.0
117,"Manoah, Alek",TOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
118,"Berríos, José",TOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
119,"Smith, Kevin",TOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0
120,"Dyson, Jarrod",TOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
121,"Lamb, Jake",TOR,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0
122,"Acuña Jr., Ronald",ATL,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
123,"Albies, Ozzie",ATL,39.0,23.0,54.0,35.0,5.0,0.0,0.0,0.0,1.0
124,"Freeman, Freddie",ATL,0.0,90.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0
