,player,team,b1,b2,b3,b4,b5,b6,b7,b8,b9
87,"Jackson, Alex",ATL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
88,"Duvall, Adam",ATL,0.0,0.0,0.0,3.0,13.0,12.0,17.0,2.0,0.0
89,"Camargo, Johan",ATL,0.0,0.0,0.0,0.0,0.0,5.0,13.0,4.0,9.0
90,"Contreras, William",ATL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
91,"d'Arnaud, Travis",ATL,0.0,4.0,4.0,15.0,13.0,3.0,0.0,0.0,0.0
92,"Flowers, Tyler",ATL,0.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0,4.0
93,"Hechavarría, Adeiny",ATL,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,7.0
94,"Culberson, Charlie",ATL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
95,"Markakis, Nick",ATL,0.0,0.0,0.0,4.0,8.0,14.0,3.0,4.0,0.0
96,"Pache, Cristian",ATL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
97,"Sandoval, Pablo",ATL,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
98,"Sogard, Eric",MIL,12.0,0.0,0.0,0.0,0.0,1.0,7.0,4.0,5.0
99,"Yelich, Christian",MIL,0.0,35.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0
100,"Hiura, Keston",MIL,0.0,25.0,20.0,1.0,12.0,1.0,0.0,0.0,0.0
101,"Smoak, Justin",MIL,0.0,0.0,0.0,15.0,7.0,4.0,3.0,0.0,0.0
102,"Braun, Ryan",MIL,4.0,0.0,13.0,6.0,8.0,3.0,0.0,0.0,0.0
103,"García, Avisaíl",MIL,26.0,0.0,1.0,7.0,11.0,4.0,1.0,0.0,0.0
104,"Narváez, Omar",MIL,1.0,0.0,0.0,0.0,2.0,10.0,7.0,6.0,6.0
105,"Cain, Lorenzo",MIL,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
106,"Arcia, Orlando",MIL,0.0,0.0,0.0,0.0,1.0,6.0,13.0,12.0,20.0
107,"Gamel, Ben",MIL,7.0,0.0,0.0,0.0,4.0,9.0,4.0,6.0,1.0
108,"Morrison, Logan",MIL,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0
109,"Gyorko, Jedd",MIL,0.0,0.0,3.0,16.0,7.0,9.0,0.0,0.0,0.0
110,"Piña, Manny",MIL,0.0,0.0,0.0,0.0,0.0,5.0,4.0,2.0,1.0
111,"Holt, Brock",MIL,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0
112,"Healy, Ryon",MIL,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,"Mathias, Mark",MIL,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0
114,"Urías, Luis",MIL,4.0,0.0,0.0,0.0,0.0,1.0,10.0,13.0,3.0
115,"Peterson, Jace",MIL,1.0,0.0,0.0,0.0,0.0,1.0,6.0,4.0,3.0
116,"Nottingham, Jacob",MIL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0
117,"Vogelbach, Daniel",MIL,0.0,0.0,0.0,11.0,7.0,0.0,0.0,0.0,0.0
118,"Taylor, Tyrone",MIL,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,1.0
119,"Wong, Kolten",STL,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
120,"Edman, Tommy",STL,11.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,"Goldschmidt, Paul",STL,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0
122,"DeJong, Paul",STL,0.0,10.0,0.0,10.0,19.0,3.0,3.0,0.0,0.0
123,"Carpenter, Matt",STL,0.0,1.0,0.0,10.0,11.0,6.0,17.0,1.0,0.0
124,"Molina, Yadier",STL,0.0,0.0,0.0,0.0,9.0,24.0,5.0,3.0,1.0
125,"Fowler, Dexter",STL,0.0,0.0,0.0,0.0,1.0,2.0,16.0,9.0,1.0
126,"O'Neill, Tyler",STL,0.0,0.0,0.0,7.0,7.0,8.0,7.0,13.0,1.0
127,"Bader, Harrison",STL,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,30.0
128,"Thomas, Lane",STL,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,8.0
129,"Ravelo, Rangel",STL,0.0,0.0,0.0,1.0,3.0,4.0,0.0,2.0,0.0
130,"Miller, Brad",STL,0.0,2.0,0.0,29.0,8.0,5.0,1.0,0.0,0.0
131,"Carlson, Dylan",STL,0.0,2.0,0.0,1.0,0.0,5.0,2.0,12.0,9.0
132,"Wieters, Matt",STL,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,5.0
133,"Schrock, Max",STL,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0
134,"Knizner, Andrew",STL,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0
135,"Nogowski, John",STL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
136,"Dean, Austin",STL,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
137,"Williams, Justin",STL,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
