,player,realised_curr,realised_prev,mean_pos_curr,mean_pos_prev,ngames_curr,ngames_prev,volatility,curr_projection,future_projection
71,Freddie Freeman,695.0,707.4000000000001,2.426751592356688,2.5517241379310347,157.0,156.60000000000002,0.000867674285962896,657.3063965517242,652.6541815286624
72,Marcell Ozuna,208.0,720.9000000000001,3.1875,3.6,48.0,162.0,0.009453125,651.0735,208.0
73,Travis d'Arnaud,229.0,496.8,5.618181818181818,4.17948717948718,55.0,105.30000000000001,0.004998089193893389,531.8465512820512,229.0
74,Dansby Swanson,653.0,712.8000000000001,5.531645569620253,3.6666666666666665,158.0,162.0,0.006908901905163187,646.1978333333334,593.2000696202531
75,Austin Riley,662.0,556.2,4.7243589743589745,7.0588235294117645,156.0,137.70000000000002,0.01739521964823624,525.8859705882353,607.6983141025642
76,Cristian Pache,68.0,10.8,8.1,9.0,20.0,2.7,0.03791666666666667,229.1445,68.0
77,Ender Inciarte,89.0,353.70000000000005,7.882352941176471,8.8,17.0,81.0,0.031095732410611303,403.0715,89.0
78,Alex Jackson,151.0,18.900000000000002,7.857142857142857,9.0,7.0,8.100000000000001,0.03174603174603175,233.1945,151.0
79,Ehire Adrianza,209.0,272.70000000000005,4.866666666666666,7.916666666666667,30.0,64.80000000000001,0.011392746913580247,373.51158333333336,209.0
80,Guillermo Heredia,347.0,97.2,7.416666666666667,8.2,84.0,13.5,0.00520628621819098,282.2525,416.85408333333334
81,Pablo Sandoval,86.0,253.8,6.166666666666667,4.0,6.0,2.7,0.038580246913580245,412.56949999999995,86.0
82,William Contreras,185.0,27.0,7.25531914893617,9.0,47.0,5.4,0.041899300839997995,237.2445,185.0
83,Jeff Mathis,9.0,183.60000000000002,7.666666666666667,8.909090909090908,3.0,59.400000000000006,0.03525150494847464,316.6704090909091,9.0
84,Kevan Smith,106.0,102.60000000000001,7.814814814814815,7.9,27.0,27.0,0.009703551287913427,288.668,106.0
85,Abraham Almonte,175.0,35.1,5.54054054054054,7.25,37.0,10.8,0.009229668858047237,262.96825,175.0
86,Orlando Arcia,89.0,510.3,6.0625,7.846153846153846,16.0,140.4,0.007604474852071007,493.1848846153846,89.0
87,Joc Pederson,481.0,372.6,4.488372093023256,5.2894736842105265,43.0,102.60000000000001,0.0017276605973198726,455.9993684210526,520.1210116279069
88,Stephen Vogt,238.0,218.70000000000002,7.318181818181818,6.904761904761905,22.0,56.7,0.0027712186803095893,359.04402380952376,238.0
89,Adam Duvall,555.0,564.3000000000001,5.686274509803922,6.042553191489362,51.0,126.9,0.0025529737385347464,542.5224787234042,542.2849901960784
90,Jorge Soler,602.0,469.8,1.8653846153846154,2.857142857142857,52.0,113.4,0.009935030882833082,534.7237857142857,613.1067115384615
91,Eddie Rosario,412.0,623.7,6.291666666666667,4.314814814814815,24.0,145.8,0.01650139079408627,593.6205185185186,463.2872083333333
92,Kolten Wong,492.0,561.6,1.0,1.1666666666666667,108.0,129.60000000000002,2.4112654320987694e-05,601.5603333333333,568.8245
93,Keston Hiura,197.0,664.2,5.413043478260869,3.0508474576271185,46.0,159.3,0.009766237228279347,629.5247542372881,197.0
94,Christian Yelich,475.0,666.9000000000001,2.8598130841121496,2.396551724137931,107.0,156.60000000000002,0.008309361946489074,638.9782068965517,537.290714953271
