,#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
67,66,Chris Taylor,LAD,8,30,34,10,6,3,1,0,3,6,3,0,10,0,1,0,1,2,0,.333
68,67,Joey Wendle,MIA,8,24,27,8,6,2,0,0,4,4,2,0,2,1,0,0,0,1,0,.333
69,68,Jack Mayfield,LAA,5,18,19,6,3,1,1,1,3,2,1,0,5,0,0,0,0,0,0,.333
70,69,Jose Siri,HOU,6,18,20,6,4,1,0,1,5,2,2,0,6,0,0,0,0,1,1,.333
71,70,Myles Straw,CLE,9,36,44,12,9,2,1,0,10,1,8,0,6,0,0,0,0,4,0,.333
72,71,Josh Naylor,CLE,2,6,7,2,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.333
73,72,Tommy Edman,STL,8,27,31,9,5,1,0,3,4,5,3,0,5,0,0,1,0,0,0,.333
74,73,Andrew Knizner,STL,4,15,16,5,3,1,0,1,1,5,1,0,7,0,0,0,1,0,0,.333
75,74,Bryan De La Cruz,MIA,6,9,13,3,3,0,0,0,1,1,4,0,2,0,0,0,1,0,0,.333
76,75,Heliot Ramos,SFG,4,6,7,2,2,0,0,0,2,0,1,0,2,0,0,0,1,0,0,.333
77,76,Freddie Freeman,LAD,9,37,42,12,9,3,0,0,6,4,3,0,7,1,1,0,1,0,0,.324
78,77,Nick Castellanos,PHI,10,37,42,12,6,4,0,2,5,6,4,0,9,1,0,0,1,0,0,.324
79,78,DJ LeMahieu,NYY,9,28,33,9,6,2,0,1,3,2,3,0,6,2,0,0,0,0,0,.321
80,79,Chas McCormick,HOU,8,25,26,8,6,2,0,0,1,1,1,0,7,0,0,0,0,0,0,.320
81,80,Gavin Lux,LAD,9,25,33,8,5,1,1,1,9,5,7,0,6,0,1,0,0,2,0,.320
82,81,Marcell Ozuna,ATL,11,44,46,14,7,3,0,4,6,8,1,0,5,0,1,0,3,0,0,.318
83,82,Manny Machado,SDP,11,44,48,14,9,4,0,1,8,6,4,0,11,0,0,0,1,3,0,.318
84,83,Jazz Chisholm Jr.,MIA,7,22,27,7,1,2,2,2,5,10,3,0,7,0,2,0,0,0,0,.318
85,84,Javier Baez,DET,5,19,20,6,4,1,0,1,1,4,1,0,4,0,0,0,0,0,0,.316
86,85,Teoscar Hernandez,TOR,6,19,23,6,4,1,0,1,3,3,2,0,6,2,0,0,0,0,0,.316
87,86,Trea Turner,LAD,9,38,41,12,10,0,1,1,6,7,2,0,8,0,1,0,0,2,0,.316
88,87,Nick Solak,TEX,6,19,22,6,5,0,0,1,5,1,2,0,4,1,0,0,0,0,0,.316
89,88,Jake Marisnick,PIT,7,16,18,5,4,1,0,0,2,1,1,0,3,0,0,1,0,0,1,.313
90,89,Orlando Arcia,ATL,4,13,16,4,4,0,0,0,1,4,2,0,3,0,1,0,0,0,0,.308
91,90,Victor Caratini,MIL,5,13,15,4,2,1,0,1,1,1,2,0,3,0,0,0,1,0,0,.308
92,91,Lourdes Gurriel Jr.,TOR,10,36,40,11,8,3,0,0,7,5,2,0,8,1,1,0,0,0,0,.306
93,92,Kyle Farmer,CIN,10,33,37,10,7,3,0,0,4,5,2,0,7,2,0,0,0,1,0,.303
